# timestamps [seconds],pts
38822.567833,285190
38822.599867,287290
38822.631878,289388
38822.667757,291739
38822.699728,293834
38822.735873,296203
38822.767835,298298
38822.799933,300401
38822.835759,302749
38822.867844,304852
38822.899743,306942
38822.935858,309309
38822.967859,311406
38823.003681,313754
38823.035729,315854
38823.067636,317945
38823.103856,320319
38823.135823,322414
38823.171713,324766
38823.203760,326866
38823.235758,328963
38823.271849,331328
38823.303802,333422
38823.335889,335525
38823.371806,337879
38823.403695,339969
38823.439847,342338
38823.471922,344440
38823.503845,346532
38823.539797,348888
38823.571741,350981
38823.603778,353081
38823.640119,355463
38823.671753,357536
38823.707794,359898
38823.739656,361986
38823.771757,364090
38823.807816,366453
38823.839967,368560
38823.878857,371108
38823.907729,373000
38823.939789,375102
38823.975888,377467
38824.007840,379561
38824.039888,381662
38824.075742,384011
38824.107835,386114
38824.139792,388209
38824.175923,390577
38824.207928,392674
38824.243691,395018
38824.275736,397118
38824.307796,399219
38824.343841,401581
38824.375947,403685
38824.407868,405777
38824.443821,408133
38824.475836,410231
38824.511816,412589
38824.543882,414691
38824.575779,416781
38824.611737,419138
38824.643662,421230
38824.681443,423706
38824.711878,425700
38824.743841,427795
38824.779689,430144
38824.811726,432244
38824.843654,434336
38824.879705,436699
38824.911786,438801
38824.947746,441158
38824.979765,443256
38825.011679,445348
38825.047863,447719
38825.079885,449818
38825.111902,451916
38825.147801,454269
38825.179725,456361
38825.215766,458723
38825.247860,460826
38825.279791,462919
38825.315725,465273
38825.347729,467371
38825.379633,469462
38825.415851,471835
38825.447854,473933
38825.483727,476284
38825.515713,478380
38825.547734,480478
38825.583892,482848
38825.615881,484944
38825.647882,487041
38825.683716,489390
38825.716347,491528
38825.751882,493857
38825.783844,495952
38825.815809,498046
38825.851769,500403
38825.883755,502499
38825.915684,504592
38825.951807,506959
38825.983811,509057
38826.019787,511414
38826.051702,513506
38826.083948,515619
38826.119952,517979
38826.151843,520068
38826.183955,522173
38826.219710,524516
38826.251775,526618
38826.287842,528981
38826.319804,531076
38826.351824,533174
38826.387765,535530
38826.419693,537622
38826.455853,539992
38826.487842,542088
38826.519883,544188
38826.555770,546540
38826.587966,548650
38826.619742,550732
38826.655863,553099
38826.687768,555190
38826.723703,557545
38826.755731,559644
38826.787774,561744
38826.823869,564110
38826.855942,566212
38826.887839,568302
38826.923707,570653
38826.955762,572753
38826.991797,575115
38827.023880,577217
38827.055922,579317
38827.092000,581682
38827.123701,583759
38827.155658,585853
38827.191863,588226
38827.223892,590325
38827.259770,592676
38827.291729,594771
38827.323717,596867
38827.359860,599236
38827.391868,601334
38827.423894,603432
38827.459761,605783
38827.491738,607879
38827.527868,610246
38827.559845,612342
38827.591837,614438
38827.627786,616794
38827.659822,618894
38827.691748,620986
38827.727892,623355
38827.759911,625453
38827.795776,627804
38827.827798,629902
38827.859780,631998
38827.895844,634362
38827.927964,636467
38827.963765,638813
38827.995797,640912
38828.027917,643017
38828.064081,645387
38828.095852,647469
38828.127833,649565
38828.163842,651925
38828.195805,654020
38828.231901,656385
38828.263887,658481
38828.295775,660571
38828.331828,662934
38828.363704,665023
38828.395746,667123
38828.431848,669489
38828.463785,671582
38828.499754,673939
38828.532030,676054
38828.563715,678131
38828.599866,680500
38828.631857,682596
38828.663800,684690
38828.699775,687047
38828.731783,689145
38828.767917,691513
38828.799887,693608
38828.831907,695706
38828.867940,698068
38828.899844,700159
38828.931838,702255
38828.967930,704621
38829.000016,706724
38829.035743,709065
38829.067802,711166
38829.099818,713264
38829.135938,715631
38829.167926,717727
38829.199870,719821
38829.235764,722173
38829.267651,724263
38829.303718,726627
38829.335850,728732
38829.367936,730835
38829.403802,733186
38829.435725,735278
38829.468049,737396
38829.504079,739757
38829.535808,741837
38829.571670,744187
38829.603741,746289
38829.635796,748389
38829.671761,750746
38829.703928,752854
38829.739662,755196
38829.771757,757300
38829.803905,759406
38829.839827,761761
38829.871983,763868
38829.904226,765981
38829.939726,768307
38829.971677,770401
38830.008216,772796
38830.039790,774865
38830.072805,777029
38830.107710,779316
38830.139671,781411
38830.172561,783566
38830.207748,785872
38830.239777,787971
38830.275693,790325
38830.307795,792429
38830.339744,794523
38830.375828,796887
38830.407842,798985
38830.440193,801106
38830.475813,803440
38830.507750,805533
38830.543824,807897
38830.575975,810004
38830.607802,812090
38830.643686,814441
38830.675801,816546
38830.707698,818636
38830.743819,821004
38830.776014,823114
38830.811713,825453
38830.843732,827551
38830.875752,829650
38830.911853,832016
38830.945622,834229
38830.975858,836210
38831.011756,838563
38831.043702,840656
38831.079905,843029
38831.111901,845126
38831.143876,847221
38831.179808,849576
38831.211762,851670
38831.247874,854037
38831.279836,856132
38831.311819,858228
38831.347760,860583
38831.379837,862685
38831.411722,864775
38831.447896,867145
38831.479798,869236
38831.515708,871589
38831.547774,873691
38831.579730,875785
38831.615837,878151
38831.647793,880246
38831.679883,882349
38831.715743,884699
38831.747730,886795
38831.783918,889167
38831.815820,891257
38831.847895,893359
38831.883713,895707
