id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
1,14542.224785,0.17851100000007136,14542.403296,10,10,11,0.5583723724097444,0.5583333333333335 0.8361111111111111 1.1083333333333332 0.830555555555555 0.5527777777777775 0.2749999999999998 3.118980458754898e-17 2.1832863211284286e-16 -0.1975076442168157 -0.4280341835802206 -0.6862836088060084 -0.9515709021341877 -0.8343333914783335,14542.224785 14542.239039 14542.259133000001 14542.267624 14542.279936 14542.287617 14542.299971 14542.307739 14542.320453 14542.327269000001 14542.342775000001 14542.365628000001 14542.385785
2,14548.628166,0.1388650000008056,14548.767031000001,56,57,58,0.6786375705800909,0.5555555555555557 0.8333333333333331 1.111111111111111 0.8333333333333333 0.41572120719645345 -0.053568124160338765 -0.566945052092972 -0.8419450520929721 -0.8400541331525456 -0.7348088037722945,14548.628166 14548.637653 14548.652388 14548.671075 14548.685649000001 14548.694319 14548.709813000001 14548.721743 14548.739929000001 14548.75519
3,14553.413540000001,0.16462700000010955,14553.578167000001,84,85,86,0.5009629287323875,0.6661161449220445 0.9040341774622596 1.0005505217446218 0.7227727439668441 0.4449949661890664 0.18714706103007003 -7.797451146887244e-17 9.356941376264695e-17 -0.2011303809181344 -0.350028727474692 -0.5743738552161876 -0.8053946038314522 -0.6559748907656643,14553.413540000001 14553.422655 14553.436571 14553.446931 14553.460383000001 14553.468115000001 14553.483292 14553.503566000001 14553.512947000001 14553.527663 14553.544170000001 14553.554170000001 14553.569166000001
4,14555.245712,0.19563900000139256,14555.441351000001,101,101,102,0.3371078922367665,0.6911219652318417 0.9633441874540638 0.685566409676286 0.6977669236570474 0.41998914587926955 0.14498914587926987 0.14498914587926962 -1.559490229377449e-17 -3.118980458754898e-17 -8.577196261575968e-17 -1.125757009331846e-16 -1.6374647408463213e-16 -2.1053118096595562e-16 -0.16348307204087648 -0.16348307204087623 -0.3732264567540672 -0.6012578999790797 -0.5390273751244187 -0.8168051529021964,14555.245712 14555.262287000001 14555.268803 14555.281107 14555.290368 14555.305110000001 14555.310773000001 14555.316188 14555.325780000001 14555.333551 14555.345364 14555.353765 14555.366541000001 14555.373966000001 14555.385173 14555.394489 14555.408517 14555.419325 14555.432408
5,14555.516238,0.23528500000065833,14555.751523,103,104,105,0.25815053910039165,0.5512804647286731 0.5974766926224839 0.08873757219206714 0.14482552107067362 -0.3528907137192804 -0.3741522447522291 -0.1284710383669347 -0.18867707480216783 0.06240689526771727 0.06235649188359592 0.07028743624687192 0.09299193819363907 -0.017659287609457022 0.16743045287880717 0.3383703156069262 0.23811651439355558 0.31092088383879835 -0.16977805929932405 -0.6411465079011528 -0.5650346766334778,14555.516238 14555.525806000001 14555.542568 14555.553898 14555.570297 14555.58128 14555.592011 14555.598916 14555.613008 14555.621535 14555.63505 14555.643536000001 14555.659901 14555.67476 14555.682857 14555.693854000001 14555.703568 14555.716294 14555.727692 14555.743932000001
6,14556.488938,0.1822809999994206,14556.671219,111,112,113,0.25903527679318805,0.7290912379061251 1.0138266077404148 0.7407887734404796 0.50864568592094 0.27406296373389777 -2.7291079014105357e-17 4.6784706881323474e-17 -1.364553950705268e-16 -1.8518946473857206e-17 -4.6784706881323474e-17 -4.312965165622007e-17 -4.6784706881323474e-17 -9.162005097592513e-17 -2.6608802038752724e-16 -0.23990532942078988 -0.3663791916846811 -0.5308999156368686,14556.488938 14556.506169 14556.517099 14556.528295 14556.537086 14556.549638 14556.55944 14556.573465000001 14556.581191000001 14556.590165000001 14556.597348000001 14556.608367 14556.61665 14556.628317 14556.637503 14556.649206 14556.659733
7,14559.936804,0.16843800000060583,14560.105242000001,127,127,128,0.642373843080491,0.5555555555555554 0.833333333333333 1.111111111111111 0.833333333333333 0.5555555555555555 0.2777777777777779 -3.118980458754898e-17 -0.2546805575071493 -0.532458335284927 -0.8102361130627048 -1.0880138908404828 -0.8564305536039618,14559.936804 14559.944121 14559.962435000001 14559.970545 14559.980851 14559.987079 14559.999481 14560.014199000001 14560.041933 14560.050606 14560.075517000001 14560.091883000001
8,14577.664515,0.2666430000008404,14577.931158000001,173,173,174,0.4658602403269872,0.5597390234470364 0.5203914668824935 0.4929238418738044 -0.04512841237915893 -0.5980187628004285 -0.5789599345790013,14577.664515 14577.746802000001 14577.804317 14577.832182 14577.872141 14577.906458000001
9,14580.925996,0.24482700000044133,14581.170823,186,187,188,0.6756906803243662,0.5583333333333333 0.8361111111111111 1.1083333333333332 0.8305555555555555 0.5527777777777775 0.2749999999999998 -0.27076732583817625 -0.47488935922228737 -0.7446770019131578 -1.0224547796909356 -0.758697905792361,14580.925996 14580.943862 14580.965533 14580.979303 14580.990085000001 14581.013728 14581.029446 14581.059339000001 14581.084085 14581.122275 14581.143258
10,14584.155513,0.21155600000020058,14584.367069,205,205,206,0.6959091734868639,0.5555555555555555 0.833333333333333 1.111111111111111 0.8333333333333331 0.5555555555555556 0.08049284741100204 -0.43839113221512693 -0.7041851312512801 -0.9819629090290578 -0.8651708260732841,14584.155513 14584.172074 14584.20147 14584.219297000001 14584.237384 14584.2564 14584.26556 14584.285564 14584.317718 14584.335203
11,14585.902391000001,0.20472699999845645,14586.107118,215,215,216,0.7251109233661268,0.6773032936947413 0.9550810714725189 0.9893633729719254 0.7115855951941478 0.2479008018337191 -0.2954553551777368 -0.7292631725941069 -1.0070409503718845 -0.9130046969843606,14585.902391000001 14585.922162 14585.946509000001 14585.975277000001 14585.987725 14586.010642000001 14586.036637000001 14586.050633 14586.079811000001
12,14587.882451000001,0.18659799999841198,14588.069049,226,226,227,0.73242088806482,0.6193858193026648 0.8971635970804426 1.044503069586224 0.7667252918084462 0.21394751403066847 -0.3249717063373991 -0.8139192203680676 -1.091696998145845 -0.8194747759236231,14587.882451000001 14587.892226 14587.918343000001 14587.945506 14587.976111 14587.99545 14588.023254 14588.039404000001 14588.048325
13,14599.324346000001,0.2234360000002198,14599.547782000001,295,295,296,0.669202371051921,0.6218045923444959 0.890168017811245 0.9888003932105167 0.711022615432739 0.45988678932189936 0.18820507658852487 -0.27177745624421396 -0.5409948480530415 -0.7995959572398499 -1.0773737350176278 -0.8115966003069774,14599.324346000001 14599.341334 14599.350457 14599.387333 14599.417611 14599.434551 14599.444133 14599.471365000001 14599.493137000001 14599.518293000001 14599.539130000001
14,14611.182643,0.23418099999980768,14611.416824,369,370,371,0.7213888888888889,0.6149457174471775 0.8927234952249551 1.0517209492194888 0.7739431714417113 0.49616539366393353 -0.05661238411384407 -0.5527777777777776 -0.8305555555555556 -1.1083333333333332 -0.8361111111111111,14611.182643 14611.213995 14611.233688 14611.251988 14611.264523 14611.294751000001 14611.310555 14611.335693 14611.362748000001 14611.392225000001
15,14613.043969,0.20067000000017288,14613.244639,380,380,381,0.6345356364456354,0.654528721501738 0.791313914123817 0.9154314289520414 0.5562488679846922 0.15743059559569159 -0.2819615147330934 -0.749085976532645 -0.8082840092953645 -0.796535699291635,14613.043969 14613.061483000001 14613.086195 14613.108183 14613.12749 14613.149591000001 14613.165981 14613.190342 14613.22041
16,14616.571288000001,0.2589140000000043,14616.830202000001,403,403,404,0.6426990411899707,0.5555555555555557 0.8333333333333333 1.1111111111111112 0.833333333333333 0.5555555555555551 0.27777777777777773 -6.237960917509796e-17 -0.2749999999999999 -0.5385137902365787 -0.8162915680143568 -1.0940693457921344 -0.8218471235699124,14616.571288000001 14616.602337 14616.617879000001 14616.628124 14616.652417000001 14616.670907 14616.695748 14616.715056000001 14616.740249 14616.782929 14616.803589000001 14616.822193
17,14621.035953,0.32101800000054936,14621.356971000001,431,432,433,0.4903262039436964,0.5131013714082234 0.7853235936304457 1.049157862789541 0.7713800850117629 0.5952319619251094 0.32023196192510955 0.05081482734556196 0.050814827345562204 7.797451146887244e-17 9.356941376264695e-17 -0.25626519718922286 -0.4906725658227052 -0.7379355304687267 -0.9960533618843268 -0.7379099124091486,14621.035953 14621.05639 14621.08625 14621.102495000001 14621.110612 14621.137643 14621.155823000001 14621.162695 14621.18008 14621.211442 14621.227343 14621.254048 14621.293865000001 14621.31503 14621.332144
18,14627.097532,0.21465600000010454,14627.312188,467,468,469,0.6947916666666667,0.5555555555555556 0.8333333333333331 1.1111111111111112 0.5583333333333333 0.0027777777777777163 -0.5527777777777778 -1.1083333333333334 -0.8361111111111111,14627.097532 14627.125035000001 14627.162793000001 14627.182691 14627.205382 14627.226866 14627.258616000001 14627.278368000001
19,14628.424577,0.21874000000025262,14628.643317,475,475,476,0.6944444444444444,0.5527777777777777 0.8333333333333335 1.1111111111111114 0.5583333333333333 0.002777777777777891 -0.5527777777777779 -1.1083333333333332 -0.836111111111111,14628.424577 14628.454445000001 14628.487722 14628.516215000001 14628.546805 14628.582511 14628.616146 14628.635435
