id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
1,6449.703184999999,0.2147850000001199,6449.9179699999995,44,45,46,0.6325788768245296,0.5555555555555557 0.6944444444444446 0.8333333333333336 0.9722222222222227 1.1111111111111116 0.9722222222222224 0.765743243698614 0.5130988914809907 0.37421000259210185 0.2353211137032129 0.09643222481432374 -0.17995666407456512 -0.4577344418523428 -0.5966233307412316 -0.6003320403606819 -0.5117100025921019 -0.6505988914809906 -0.7894877803698795 -0.9283766692587684 -0.7922655581476572 -0.6533766692587684,6449.703184999999 6449.710171 6449.726232 6449.73417 6449.741470999999 6449.749608 6449.757243 6449.766436999999 6449.773262 6449.786225 6449.793857 6449.8109779999995 6449.817900999999 6449.825199 6449.834105999999 6449.84427 6449.8544999999995 6449.864256 6449.873987999999 6449.888222 6449.8954029999995
2,6450.873237999999,0.18073200000071665,6451.05397,55,56,57,0.5685503448746028,0.5486426130808142 0.6875315019697031 0.8264203908585921 0.9653092797474809 0.8264203908585921 0.7930176232376094 0.8402462758080749 0.7013573869191859 0.5624684980302972 0.4235796091414082 0.2846907202525192 0.014099562562467782 -0.06647652627459855 -0.22304690736021154 -0.40345388426558687 -0.49255041884889067 -0.577934983116155 -0.6811532405433707 -0.7845814139396929 -0.6342946622547562 -0.6022813532966513,6450.873237999999 6450.881017 6450.889098 6450.897771999999 6450.908378 6450.916693 6450.922256999999 6450.930329 6450.940337999999 6450.946387 6450.954271 6450.961117 6450.972387 6450.979122 6450.985331999999 6450.9930699999995 6451.001393 6451.009674999999 6451.020595999999 6451.038313999999 6451.045157
3,6451.962114,0.21101399999952264,6452.173127999999,68,69,71,0.5682124194147284,0.622617941314278 0.7615068302031669 0.9003957190920558 1.0082085343343992 0.8693196454455104 0.9051598364634996 0.766270947574611 0.627382058685722 0.4884931697968331 0.3496042809079441 0.21071539201905526 0.08736453995343908 0.087364539953439 -0.09445875433951695 -0.17144391484926225 -0.2656511172440656 -0.3648051740183108 -0.4729680506507893 -0.6051710948136454 -0.7303856019960849 -0.8492124780800941 -0.792631354121333 -0.7775499219907316 -0.7280244060900135 -0.6686051814304121,6451.962114 6451.969094 6451.982784999999 6451.989734 6452.00009 6452.010776 6452.0190729999995 6452.025693 6452.033944 6452.041125 6452.050091 6452.057118 6452.068912 6452.074433 6452.081558 6452.089317999999 6452.0975659999995 6452.105208999999 6452.11313 6452.1210599999995 6452.131374 6452.145783999999 6452.151425999999 6452.157975 6452.165128
4,6456.800214999999,0.16518400000040856,6456.965399,119,120,121,0.5883880414054118,0.6024840766679828 0.6718650860706245 0.8107539749595134 0.9496428638484024 0.8107539749595132 0.5737083932705909 0.5076060623517406 0.36871717346285154 0.09232828457396271 -0.04643373423132101 -0.32421151200909876 -0.6019892897868765 -0.7408781786757653 -0.683453681964587 -0.6920345834641677 -0.8309234723530566 -0.6948123612419455,6456.800214999999 6456.806646 6456.814483 6456.8214259999995 6456.839601 6456.847113 6456.857097 6456.865682 6456.873702999999 6456.883229 6456.891478 6456.903025 6456.919546 6456.93053 6456.941806999999 6456.9505659999995 6456.958896
5,6460.2979399999995,0.3462700000000041,6460.6442099999995,145,145,146,0.47996430217645264,0.5645030570768896 0.5883402171133734 0.5981836811251106 0.6348957878563134 0.5624161839544267 0.28811709053577556 0.025472236678947095 -0.2523055410988306 -0.5213683664739635 -0.5595644387189768 -0.5676423108127374 -0.5967627146720881,6460.2979399999995 6460.343110999999 6460.354434 6460.412616 6460.440243 6460.449071999999 6460.467513 6460.508847 6460.579511 6460.609976 6460.622756 6460.63606
6,6463.873763,0.16750500000034663,6464.041268,173,174,175,0.5875373564904429,0.6022616227467855 0.7411505116356746 0.8800394005245635 0.919164226671591 0.9646409811780201 0.8257520922891309 0.6868632034002422 0.5479743145113535 0.31769506282348 0.17880617393459114 -0.07176707181652339 -0.13790780872861735 -0.3486246490222897 -0.46255508632223014 -0.5788082338448385 -0.6984027349693267 -0.6545108982602467 -0.7787240722457278 -0.6861080561082898 -0.6689909287753364,6463.873763 6463.882248999999 6463.890364 6463.897547 6463.905057 6463.913047 6463.924454 6463.930718 6463.937164 6463.944997 6463.953092 6463.961112999999 6463.969082 6463.97768 6463.9857329999995 6464.000295999999 6464.008175 6464.015681 6464.025651 6464.033472
7,6464.988673,0.16690099999959784,6465.155573999999,186,186,187,0.6020651926876958,0.6204609729002974 0.7593498617891863 0.8258702425427414 0.9002230467002107 0.973837185631035 0.8349482967421462 0.6087538367328199 0.46986494784393107 0.23720590624156637 0.09831701735267741 -0.033334855265543833 -0.2573776384464165 -0.502518041245162 -0.6397884239541353 -0.5991202765197622 -0.738009165408651 -0.6893577488705881 -0.8268577488705878 -0.7617262570059218 -0.6643823836905344,6464.988673 6464.998329999999 6465.004118 6465.011574 6465.018097 6465.026333 6465.0380669999995 6465.046582 6465.056261 6465.062245 6465.068796 6465.073917 6465.0812559999995 6465.090518 6465.0997099999995 6465.106890999999 6465.115758 6465.131251999999 6465.141049 6465.148815
8,6467.142408,0.207220000000234,6467.349628,212,213,214,0.6067370007390878,0.5555555555555555 0.6944444444444445 0.8333333333333333 0.9722222222222222 1.1111111111111112 0.9722222222222219 0.8333333333333333 0.6944444444444444 0.5555555555555554 0.4166666666666665 0.189452274255742 0.050563385366853134 -0.08832550352203562 -0.08832550352203554 -0.22582550352203562 -0.35749051642471935 -0.4963794053136081 -0.6285561737622258 -0.5907940556070432 -0.7296829444959322 -0.86716421174949 -1.0036898923709552 -0.8661898923709549 -0.7403598665655877,6467.142408 6467.150202 6467.157547 6467.1677979999995 6467.178736999999 6467.186812999999 6467.199283 6467.205239999999 6467.213017 6467.221283999999 6467.229165 6467.237176 6467.245102 6467.253202 6467.261176 6467.269929 6467.277943 6467.291335 6467.299746 6467.307658 6467.31493 6467.324877999999 6467.335023 6467.341429
9,6468.1171859999995,0.32956800000010844,6468.446754,224,225,227,0.5616920345728942,0.5555555555555558 0.6944444444444446 0.8333333333333336 0.9722222222222224 1.1111111111111116 0.9722222222222222 0.8333333333333331 0.6944444444444444 0.4365896432677118 0.29770075437882304 0.158811865489934 0.019922976601045077 -0.11896591228784367 -0.11896591228784356 -0.25646591228784366 -0.3601637801449291 -0.2606199998735597 -0.39950888876244883 -0.5249532711915716 -0.6559721945801585 -0.7701825253578568 -0.9002591655399281 -0.7583405007003954 -0.6785660911678483 -0.6596448037359449,6468.1171859999995 6468.1250709999995 6468.142328 6468.177264 6468.189684 6468.213465999999 6468.222938 6468.234187999999 6468.245083999999 6468.285325999999 6468.302165 6468.312282 6468.3263019999995 6468.335473 6468.342441 6468.349289 6468.3573129999995 6468.365750999999 6468.373372999999 6468.401022 6468.406696 6468.4130829999995 6468.421076 6468.429047 6468.437333
10,6470.130708,0.21391700000003766,6470.344625,241,242,243,0.6096522820965213,0.5842332344826422 0.7231221233715313 0.86201101226042 0.9981221233715311 0.8592332344826421 0.7203443455937533 0.8046556544062464 0.6657667655173577 0.526877876628469 0.2805378939570634 0.14164900506817457 0.004149005068174574 -0.13335099493182534 -0.24209418900857566 -0.4798694149549129 -0.618758303843802 -0.7576471927326909 -0.6816338940565468 -0.815611749301819 -0.9545006381907079 -0.8183895270795967 -0.7397920278149854,6470.130708 6470.139437 6470.152545999999 6470.162821999999 6470.169293999999 6470.174755999999 6470.183403 6470.196503 6470.204422999999 6470.2130799999995 6470.221447 6470.230471999999 6470.25055 6470.256773 6470.263844 6470.2710959999995 6470.2793249999995 6470.29489 6470.30204 6470.309572 6470.317311 6470.325102
11,6477.6151899999995,0.5560059999997975,6478.171195999999,312,315,318,0.44901858836389413,0.5450177096658283 0.68369110027949 0.8193739712238314 0.8559102403353005 0.8927787865695067 0.7542894640396083 0.5180717269279107 0.3805717269279108 0.24307172692791074 0.10557172692791089 -0.031714152988704274 0.034246010439613256 -0.0019977072765440832 -0.0019977072765442346 0.20809641662984915 0.20809641662984893 0.0705964166298489 -0.06829247225904005 -0.20718136114792868 -0.44849477619542083 -0.4866129794657259 -0.6255018683546151 -0.8694378191967004 -1.0083267080855893 -0.8722155969744778 -0.733326708085589,6477.6151899999995 6477.639738999999 6477.652053 6477.6867919999995 6477.711442 6477.767483 6477.787566999999 6477.802412999999 6477.812295 6477.8234649999995 6477.848566 6477.861701999999 6477.889544 6477.916375999999 6477.93319 6477.945003 6477.96727 6477.984703 6478.008715 6478.030067 6478.059327 6478.0756599999995 6478.088992 6478.1007899999995 6478.1238809999995 6478.140041
12,6478.705953,0.25474800000029063,6478.960701,323,323,324,0.6248050600893824,0.5569444444444447 0.6958333333333334 0.8347222222222224 0.8606641532680469 0.8592752643791579 0.58149748660138 0.3037197088236023 0.02631858273026757 -0.25145919504751035 -0.5292369728252881 -0.807014750603066 -0.8588986126947151 -0.8602875015836037 -0.7213986126947148,6478.705953 6478.7265179999995 6478.736327 6478.754978999999 6478.778079 6478.799852 6478.816024 6478.826822 6478.836423 6478.865134 6478.885267 6478.911561999999 6478.931618 6478.947106
13,6487.991155,0.32938800000010815,6488.320543,352,352,353,0.42052232883961693,0.5119277602208064 0.5472172488763346 0.5486061377652235 0.5486061377652234 0.2708283599874456 -0.006949417790332265 -0.28472719556810977 -0.33719947883325174 -0.47365742539866773 -0.5466243386263067 -0.5494021164040843,6487.991155 6488.024321 6488.055651 6488.075497999999 6488.097358999999 6488.109686 6488.122504999999 6488.148335999999 6488.213100999999 6488.263266999999 6488.308921999999
14,6490.067255,0.1977069999993546,6490.264961999999,360,360,361,0.6104401784117385,0.5151481805249408 0.7929259583027185 0.6554259583027182 0.41666666666666646 0.2777777777777776 0.0013888888888886485 -0.2763888888888888 -0.5541666666666665 -0.8319444444444445 -1.109722222222222 -0.973611111111111 -0.8347222222222218 -0.6958333333333332,6490.067255 6490.078154 6490.0948659999995 6490.106412 6490.119559 6490.131611 6490.150103 6490.168818 6490.195664 6490.214534 6490.235449999999 6490.243178 6490.253928
15,6492.159374999999,0.1898090000004231,6492.349184,373,374,375,0.5544510628569811,0.5726017955276701 0.6781346185339823 0.7902730256319046 0.8203103061589871 0.8392997908912164 0.7069101179628301 0.4439792280871366 0.20241466214860637 -0.0028946378104705256 -0.24270974546069754 -0.4893404786725326 -0.5296969871142869 -0.6393617840194312 -0.7542210355318528 -0.6206210241612665 -0.5384477679988261,6492.159374999999 6492.169483 6492.176724999999 6492.193547999999 6492.208255 6492.2177169999995 6492.231435 6492.2387659999995 6492.2515459999995 6492.264875 6492.28029 6492.291604 6492.30002 6492.315877 6492.325430999999 6492.336493
16,6494.907407,0.2496609999998327,6495.1570679999995,384,384,385,0.6826839536438973,0.608028396063756 0.7469172849526448 0.8858061738415335 1.0219172849526448 0.9859089997327433 0.7609250509324444 0.6220361620435555 0.34564727315466687 0.06786949537688901 -0.2099082824008888 -0.4876860601786665 -0.7640749490675552 -0.845310233485687 -0.8120090025517559 -0.950897891440645 -0.8147867803295339 -0.6758978914406452,6494.907407 6494.915617 6494.95814 6494.991833 6495.0003639999995 6495.010225 6495.018407 6495.0268129999995 6495.041773 6495.051321999999 6495.063892 6495.072037999999 6495.0897509999995 6495.109713999999 6495.121400999999 6495.141517999999 6495.150944999999
