key,value
Recording Name,2020_05_16
Start Date,16.05.2020
Start Time,14:05:15
Start Time (System),1589627115.9328191
Start Time (Synced),4343.845023
Recording UUID,2e345076-01d0-4f7a-a538-08b9a05c5f75
Duration Time,00:07:12
World Camera Frames,12612
World Camera Resolution,1280x720
Capture Software Version,1.22.7
Data Format Version,1.16
System Info,User: Eli_a\, Platform: Windows\, Machine: LAPTOP-484PS8LU\, Release: 10\, Version: 10.0.18362
