key,value
Player Software Version,1.22.7
Data Format Version,1.16
Export Date,16.05.2020
Export Time,15:24:34
Frame Index Range:,0 - 12611
Relative Time Range,00:00.000 - 07:11.589
Absolute Time Range,4343.8499950000005 - 4775.4395380000005
