key,value
Recording Name,2020_05_15
Start Date,15.05.2020
Start Time,19:10:20
Start Time (System),1589559020.250023
Start Time (Synced),38818.200033
Recording UUID,02dfca0b-b7d8-4882-b75c-87c762393ab8
Duration Time,00:01:26
World Camera Frames,2555
World Camera Resolution,1280x720
Capture Software Version,1.22.7
Data Format Version,1.16
System Info,User: Eli_a\, Platform: Windows\, Machine: LAPTOP-484PS8LU\, Release: 10\, Version: 10.0.18362
