id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,203127.258951,100.66599998390302,22,25,0.47601407120592454,0.48811914142964424,0.7979231885832038,0.9360109814954489,3d gaze,-39.77715442839949,9.17035912721432,477.8285940064943,203127.258951 203127.29267499998 203127.32622999998 203127.35961699998
1,203127.896939,201.68199998443015,42,48,0.6074985343735634,0.6148381810392033,0.8826125267206952,0.990977634627088,3d gaze,102.02512986372325,-69.75889598255823,454.57870353774086,203127.896939 203127.93054799997 203127.997324 203128.064589 203128.09862099998
2,203128.13140699998,134.3570000026375,48,52,0.6076332208138393,0.6118016171597905,1.2467419307698,0.9986933050998346,3d gaze,102.01420846611363,-67.77503820672942,454.1279745213812,203128.13140699998 203128.165108 203128.199156 203128.23233199999 203128.26576399998
3,203128.46691,101.09099998953752,58,61,0.5715514914286625,0.5951343836326158,0.99299988831239,0.9184614172463491,3d gaze,63.27262994261708,-57.352046995981965,462.1571370242759,203128.46691 203128.500626 203128.56800099998
4,203128.60145599997,201.13500001025386,62,68,0.5642560670171384,0.6066590498536883,1.3173347993657363,0.9574005443508382,3d gaze,55.86446823686695,-64.97754231617105,465.57932176793656,203128.60145599997 203128.634944 203128.668552 203128.769044 203128.80259099999
5,203129.037188,100.77499999897555,75,78,0.5501709338634058,0.5727737543525007,1.2663870575991527,0.9936800146780533,3d gaze,40.11478638948432,-43.20039041928351,463.16712086116445,203129.037188 203129.07132 203129.104363 203129.137963
6,203129.774855,100.07299997960217,97,100,0.5369457584961489,0.6062671283257649,1.4230956621661563,0.9219270186387732,3d gaze,26.552843517538182,-65.09153511057517,470.8374135988709,203129.774855 203129.807886 203129.87492799998
7,203130.08258999998,129.01900001452304,107,110,0.5110548240987242,0.5722218566921207,0.6158870320614072,0.9838448088399823,3d gaze,-1.489463664053062,-43.20192505352789,468.7551716755262,203130.08258999998 203130.11089399998 203130.144408 203130.178093 203130.211609
8,203130.279423,133.81699999445118,112,116,0.5121237630151556,0.5489844615987881,0.8896590087634035,0.9367234050374351,3d gaze,-0.34601156360999996,-28.931411011365377,472.3186054114848,203130.279423 203130.31213799998 203130.34617499998 203130.37941999998 203130.41324
9,203130.48047399998,100.65700000268407,118,121,0.500005968438113,0.5631235240444036,1.33838324911169,0.7937684882713731,3d gaze,-13.526185553132791,-38.102800704639336,475.88499855584007,203130.48047399998 203130.51366199998 203130.552111 203130.58113099998
10,203130.61487999998,100.23599999840371,122,125,0.4991512276640734,0.5478046353929944,1.3526586880637639,0.9506725835908728,3d gaze,-14.361005968558974,-28.252981362936236,473.0676391577593,203130.61487999998 203130.64829299998 203130.68171499998 203130.71511599998
11,203130.74859799998,202.8930000087712,126,132,0.5098801368757376,0.5491527236878881,1.2682266223218293,0.8838175413575752,3d gaze,-2.7648456632539387,-29.048450364586692,472.54375463611314,203130.74859799998 203130.783026 203130.81822699998 203130.85108099997 203130.88521399998 203130.918923 203130.95149099999
12,203130.98503399998,134.130999998888,133,137,0.5026040639335008,0.5544727835428365,0.8754787923273147,0.9986370798620982,3d gaze,-10.649113860497508,-32.49895114324475,474.1291984827668,203130.98503399998 203131.01864 203131.05215799998 203131.08559099998 203131.11916499998
13,203131.152507,101.19799998938106,138,141,0.5153385991753909,0.5612191887968034,1.3640982316684873,0.9001554865770949,3d gaze,3.138512777731954,-36.75839976247197,474.28404898108033,203131.152507 203131.18622399998 203131.21958399998 203131.25370499998
14,203131.420815,100.58699999353848,146,149,0.5050516543284946,0.5657534830201264,0.8583729067767201,0.9264306797878626,3d gaze,-8.040274648994604,-39.77445392257635,476.02259380325006,203131.420815 203131.45487199997 203131.488949 203131.52140199998
15,203131.555834,100.25299998233095,150,153,0.5014209316061069,0.5542144880415143,0.4494523287168901,0.9951909801545722,3d gaze,-11.930647167260389,-32.34083215477734,474.1665636562637,203131.555834 203131.588395 203131.62211199998 203131.65608699998
16,203131.68952599997,101.27500002272427,154,157,0.5147918178368532,0.561592369039413,1.35007901964354,0.9186698302572074,3d gaze,2.5451989837612423,-37.00149600018949,474.4056537677831,203131.68952599997 203131.72324999998 203131.75684699998 203131.790801
17,203131.827131,199.9329999962356,158,164,0.5186430113663213,0.5657490566109427,1.4142243280095028,0.9307683949994628,3d gaze,6.7208379329821515,-39.66199778087656,474.76077068866243,203131.827131 203131.85909699998 203131.892443 203131.926064 203131.95970799998 203131.99293799998 203132.027064
18,203132.06029599998,201.2129999930039,165,171,0.5012961420996447,0.567758565849495,1.3950938049294725,0.9649224374164186,3d gaze,-12.145436718084857,-41.10473971682455,476.63919106512367,203132.06029599998 203132.093673 203132.127064 203132.16110199998 203132.195055 203132.228076 203132.26150899997
19,203132.295425,201.0080000036396,172,178,0.49405503844267795,0.5592165749286259,0.561024769136835,0.9710704208417903,3d gaze,-19.98195413407808,-35.616869813281966,475.5218204680437,203132.295425 203132.32869499997 203132.362504 203132.39563599997 203132.42936699998 203132.46277299998 203132.496433
20,203132.52980999998,201.2749999994412,179,185,0.4946517359317734,0.5566557188706998,0.23802235087588527,0.9988678271033519,3d gaze,-19.307643928493487,-33.95713384712188,475.0200051035408,203132.52980999998 203132.563677 203132.59709499998 203132.630783 203132.66405899997 203132.697593 203132.73108499998
