# timestamps [seconds],pts
4360.905414,1117726
4360.937497,1119829
4360.973104,1122162
4361.005359,1124276
4361.038701,1126461
4361.073560,1128746
4361.105592,1130845
4361.141371,1133190
4361.173349,1135286
4361.206489,1137457
4361.241136,1139728
4361.273726,1141864
4361.306197,1143992
4361.341857,1146329
4361.373281,1148388
4361.409515,1150763
4361.441492,1152858
4361.473835,1154978
4361.509235,1157298
4361.541241,1159395
4361.577829,1161793
4361.609413,1163863
4361.642347,1166021
4361.677213,1168306
4361.709774,1170440
4361.741921,1172547
4361.777550,1174882
4361.812171,1177151
4361.845236,1179318
4361.877561,1181436
4361.909961,1183559
4361.945439,1185884
4361.977562,1187990
4362.011259,1190198
4362.045340,1192431
4362.079319,1194658
4362.113546,1196901
4362.145377,1198987
4362.179002,1201191
4362.213724,1203466
4362.246743,1205630
4362.279599,1207784
4362.313704,1210019
4362.346143,1212145
4362.381469,1214460
4362.414383,1216617
4362.448181,1218832
4362.481505,1221016
4362.514463,1223175
4362.548906,1225433
4362.581462,1227566
4362.615088,1229770
4362.649237,1232008
4362.682345,1234178
4362.715134,1236326
4362.749409,1238573
4362.783290,1240793
4362.818477,1243099
4362.850438,1245194
4362.882826,1247316
4362.917224,1249570
4362.950312,1251739
4362.983878,1253939
4363.018269,1256192
4363.054937,1258595
4363.085357,1260589
4363.119358,1262817
4363.152153,1264966
4363.185396,1267145
4363.220075,1269418
4363.253736,1271624
4363.287589,1273842
4363.320299,1275986
4363.354065,1278199
4363.387295,1280376
4363.420758,1282569
4363.455448,1284843
4363.488409,1287003
4363.522320,1289225
4363.555478,1291398
4363.589497,1293628
4363.622230,1295773
4363.657611,1298092
4363.690570,1300252
4363.722806,1302364
4363.756439,1304568
4363.791671,1306877
4363.824561,1309033
4363.858880,1311282
4363.892537,1313487
4363.926493,1315713
4363.959844,1317898
4363.999491,1320497
4364.029188,1322443
4364.062251,1324610
4364.095941,1326818
4364.129772,1329035
4364.163485,1331244
4364.198072,1333511
4364.230546,1335639
4364.263063,1337770
4364.296695,1339974
4364.330733,1342205
4364.364255,1344402
4364.397208,1346561
4364.430316,1348731
4364.464117,1350946
4364.498041,1353169
4364.531882,1355387
4364.564776,1357543
4364.598317,1359741
4364.631516,1361916
4364.665464,1364141
4364.699072,1366344
4364.734087,1368638
4364.766709,1370776
4364.802378,1373114
4364.832574,1375093
4364.866346,1377306
4364.900435,1379540
4364.934301,1381759
4364.967623,1383943
4365.000277,1386083
4365.034452,1388323
4365.069672,1390631
4365.102171,1392761
4365.135018,1394913
4365.168990,1397140
4365.202934,1399364
4365.236116,1401539
4365.268425,1403656
4365.303088,1405928
4365.337108,1408157
4365.369965,1410311
4365.403756,1412525
4365.436395,1414664
4365.470753,1416916
4365.504485,1419127
4365.538696,1421369
4365.571327,1423507
4365.604041,1425651
4365.638569,1427914
4365.671828,1430093
4365.706612,1432373
4365.738952,1434492
4365.772314,1436679
4365.808800,1439070
4365.839570,1441086
4365.873489,1443309
4365.906859,1445496
4365.941837,1447788
4365.975262,1449979
4366.008834,1452179
4366.041938,1454348
4366.074468,1456480
4366.108004,1458678
4366.142169,1460917
4366.175160,1463079
4366.208541,1465267
4366.242191,1467472
4366.275765,1469672
4366.310470,1471947
4366.343698,1474124
4366.376842,1476296
4366.410425,1478497
4366.443701,1480678
4366.477643,1482902
4366.511770,1485139
4366.545527,1487351
4366.579296,1489564
4366.611830,1491696
4366.645316,1493891
4366.679050,1496102
4366.712568,1498298
4366.745080,1500429
4366.778571,1502624
4366.815207,1505025
4366.846390,1507068
4366.879757,1509255
4366.914041,1511502
4366.946792,1513648
4366.979946,1515821
4367.014036,1518055
4367.047547,1520251
4367.081292,1522463
4367.115438,1524700
4367.149630,1526941
4367.182171,1529074
4367.215841,1531280
4367.248482,1533419
4367.282496,1535648
4367.316485,1537876
4367.350133,1540081
4367.382714,1542216
4367.416588,1544436
4367.450014,1546627
4367.484010,1548855
4367.518265,1551100
4367.551377,1553270
4367.584455,1555437
4367.618036,1557638
4367.651593,1559837
4367.684963,1562024
4367.719148,1564264
4367.752966,1566481
4367.788620,1568817
4367.818707,1570789
4367.852598,1573010
4367.887072,1575269
4367.920366,1577451
4367.954677,1579700
4367.986970,1581816
4368.020427,1584009
4368.054201,1586222
4368.088433,1588466
4368.121617,1590640
4368.156251,1592910
4368.188250,1595007
4368.221441,1597182
4368.255137,1599390
4368.289015,1601611
4368.323195,1603851
4368.357877,1606124
4368.389631,1608205
4368.423485,1610423
4368.457819,1612673
4368.490934,1614843
4368.525350,1617099
4368.557650,1619216
4368.591142,1621411
4368.624616,1623604
4368.657992,1625792
4368.692261,1628037
4368.725329,1630205
4368.759413,1632438
4368.794353,1634728
4368.825496,1636769
4368.859298,1638984
4368.893464,1641223
4368.927291,1643440
4368.960058,1645587
4368.993018,1647748
4369.027420,1650002
4369.060494,1652170
4369.095209,1654445
4369.129075,1656664
4369.160969,1658754
4369.194280,1660937
4369.228567,1663184
4369.261719,1665357
4369.295640,1667580
4369.329245,1669782
4369.362720,1671976
4369.396421,1674185
4369.430178,1676397
4369.463596,1678587
4369.497272,1680794
4369.531442,1683033
4369.563889,1685160
4369.597470,1687360
4369.631734,1689606
4369.665519,1691820
4369.698486,1693980
4369.732481,1696208
4369.765809,1698392
4369.800033,1700635
4369.832025,1702732
4369.865610,1704933
4369.899283,1707140
4369.933503,1709382
4369.965523,1711481
4369.999088,1713680
4370.033488,1715935
4370.066298,1718085
4370.101412,1720386
4370.134597,1722561
4370.167231,1724700
4370.200531,1726882
4370.234634,1729117
4370.268126,1731312
4370.302063,1733536
4370.335181,1735706
4370.368410,1737884
4370.401562,1740056
4370.435460,1742278
4370.468724,1744458
4370.503044,1746707
4370.537610,1748972
4370.569595,1751068
4370.604213,1753337
4370.636332,1755442
4370.670019,1757650
4370.703208,1759825
4370.736692,1762019
4370.771216,1764282
4370.805378,1766521
4370.837637,1768635
4370.871393,1770847
4370.904497,1773016
4370.939106,1775284
4370.972520,1777474
4371.006624,1779709
4371.041055,1781966
4371.073196,1784072
4371.107408,1786314
4371.139491,1788417
4371.173337,1790635
4371.207848,1792896
4371.240699,1795049
4371.274171,1797243
4371.307984,1799459
4371.341565,1801660
4371.374775,1803836
4371.408132,1806022
4371.441993,1808241
4371.475769,1810455
4371.509309,1812653
4371.543008,1814861
4371.577488,1817121
4371.609704,1819232
4371.643832,1821469
4371.677067,1823647
4371.711561,1825907
4371.744000,1828033
4371.777569,1830233
4371.813609,1832595
4371.844466,1834617
4371.878555,1836851
4371.911565,1839014
4371.945918,1841266
4371.978519,1843402
4372.012816,1845650
4372.046572,1847862
4372.079567,1850025
4372.113628,1852257
4372.147675,1854488
4372.180738,1856655
4372.213889,1858827
4372.247070,1861002
4372.281154,1863236
4372.313928,1865383
4372.348683,1867661
4372.381727,1869827
4372.414846,1871997
4372.448318,1874191
4372.481854,1876388
4372.516308,1878646
4372.550104,1880861
4372.583250,1883033
4372.618744,1885359
4372.650022,1887409
4372.682921,1889565
4372.716473,1891764
4372.750296,1893981
4372.783820,1896178
4372.818968,1898481
4372.850910,1900574
4372.883988,1902742
4372.917815,1904959
4372.951785,1907185
4372.984470,1909327
4373.018292,1911544
4373.053484,1913850
4373.086496,1916014
4373.119944,1918206
4373.153117,1920380
4373.186925,1922595
4373.219884,1924755
4373.253979,1926990
4373.287425,1929181
4373.320580,1931354
4373.354654,1933587
4373.388174,1935784
4373.421640,1937977
4373.454921,1940158
4373.488502,1942359
4373.522449,1944584
4373.555735,1946765
4373.589388,1948971
4373.622888,1951166
4373.657262,1953419
4373.690438,1955593
4373.723783,1957778
4373.756975,1959953
4373.791335,1962205
