id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
1,24119.176705,4.434745999998995,24123.611451,4,57,110,0.028449297735130205,0.7201693414420408 0.7201693414420409 0.35699642601659876 0.0 0.0 1.2335811384723962e-17 -1.7270135938613546e-16 -1.4802973661668756e-16 -1.973729821555834e-16 -2.4671622769447925e-17 -4.3175339846533866e-17 9.86864910777917e-17 1.973729821555834e-16 4.934324553889585e-17 7.401486830834378e-17 1.0485439677015368e-16 1.4802973661668756e-16 9.86864910777917e-17 1.2335811384723962e-17 -4.934324553889585e-17 -1.4802973661668756e-16 -1.2335811384723962e-17 -2.4671622769447925e-17 2.4671622769447925e-17 0.0 1.1102230246251565e-16 -6.167905692361981e-17 6.167905692361981e-18 -2.4671622769447925e-17 -7.401486830834378e-17 -2.4671622769447925e-17 6.167905692361981e-17 0.0 1.2335811384723962e-16 -1.2335811384723962e-16 7.401486830834378e-17 9.86864910777917e-17 8.635067969306773e-17 -2.713878504639272e-16 -1.634495008475925e-16 -1.850371707708594e-16 7.401486830834378e-17 4.934324553889585e-17 4.934324553889585e-17 -7.401486830834378e-17 0.0 2.4671622769447925e-17 -3.700743415417189e-17 1.4802973661668756e-16 1.2335811384723962e-16 -3.700743415417189e-17 0.0 -1.1102230246251565e-16 6.167905692361981e-17 -3.0839528461809905e-17 9.86864910777917e-17 1.2335811384723962e-17 -1.2335811384723962e-17 0.0 3.700743415417189e-17 -1.1102230246251565e-16 3.700743415417189e-17 -4.934324553889585e-17 8.635067969306773e-17 1.4802973661668756e-16 1.2335811384723962e-16 -6.167905692361981e-17 -1.1102230246251565e-16 -2.4671622769447925e-17 -2.4671622769447925e-17 -1.356939252319636e-16 0.0 -1.973729821555834e-16 8.635067969306773e-17 1.356939252319636e-16 1.4802973661668756e-16 1.2335811384723962e-16 4.934324553889585e-17 1.7270135938613546e-16 9.945747928933694e-17 1.2335811384723962e-17 3.0839528461809905e-17 -8.480870326997724e-18 1.9120507646322142e-16 7.401486830834378e-17 -2.4671622769447925e-17 -9.86864910777917e-17 -9.86864910777917e-17 -1.4494578377050655e-16 -9.86864910777917e-17 4.934324553889585e-17 1.973729821555834e-16 2.0970879354030737e-16 2.4671622769447925e-17 -8.635067969306773e-17 -6.78469626159818e-17 -1.2335811384723962e-17 1.973729821555834e-16 1.2335811384723962e-17 1.4802973661668756e-16 9.86864910777917e-17 1.7270135938613546e-16 -2.0970879354030737e-16 -1.973729821555834e-16 -2.3438041630975528e-16 -3.700743415417189e-17 -2.4671622769447925e-17 1.4802973661668756e-16 1.7270135938613546e-16 2.220446049250313e-16 9.86864910777917e-17 4.934324553889585e-17 -7.401486830834378e-17 -2.4671622769447925e-17 -4.934324553889585e-17 1.3260997238578258e-16 4.934324553889585e-17 2.0970879354030737e-16 -2.8372366184865114e-16 -2.8372366184865114e-16 -3.4540271877227093e-16 3.700743415417189e-17 2.0970879354030737e-16 4.3175339846533865e-16 2.220446049250313e-16 1.2335811384723962e-16 -2.220446049250313e-16 -1.356939252319636e-16 -1.973729821555834e-16 0.0 -6.78469626159818e-17 1.1719020815487764e-16 1.2644206669342063e-16 -0.325551636180313 -0.6879751328422595 -1.0582426140544419,24119.176705 24119.211416000002 24119.243443 24119.275479 24119.307437 24119.339309 24119.371373 24119.40749 24119.439354000002 24119.471467 24119.503491 24119.53554 24119.56735 24119.599482 24119.635446 24119.667437 24119.69948 24119.731356 24119.763478 24119.795433 24119.831369 24119.863414 24119.895401 24119.927443 24119.959288000002 24119.991296 24120.023391 24120.05929 24120.091462 24120.123468 24120.15529 24120.187331 24120.219432 24120.255427 24120.287467000002 24120.319375 24120.351374 24120.383328 24120.415488000002 24120.447382000002 24120.483404000002 24120.516302 24120.54746 24120.579415 24120.61135 24120.643574 24120.679457000002 24120.711548 24120.743397000002 24120.775321 24120.807444000002 24120.839448 24120.871474 24120.907378 24120.939389 24120.971378000002 24121.003476 24121.035419 24121.067401 24121.103466 24121.135378 24121.167574 24121.19945 24121.231462 24121.263529 24121.29539 24121.331613000002 24121.363324 24121.395484 24121.427467 24121.459482000002 24121.491425 24121.527353 24121.559379000002 24121.591309 24121.623462 24121.655464 24121.687365 24121.719439 24121.75533 24121.787385 24121.819465 24121.851493000002 24121.883425 24121.915407 24121.94767 24121.98348 24122.015487 24122.047408000002 24122.079472 24122.111401000002 24122.14339 24122.179368 24122.211459000002 24122.24351 24122.275431000002 24122.307394 24122.339327 24122.371331000002 24122.407478 24122.439421 24122.471467 24122.503363 24122.535474 24122.567313 24122.603571 24122.635461 24122.667621 24122.699448 24122.731350000002 24122.763358 24122.795539 24122.831448 24122.863408 24122.895454 24122.927459000002 24122.959375000002 24122.991493 24123.027368 24123.059404 24123.091431 24123.123426000002 24123.155491 24123.18736 24123.219401000002 24123.255445 24123.287449 24123.319471 24123.351549 24123.383338 24123.415472 24123.451403 24123.483484 24123.515589000002 24123.547408000002 24123.579296
2,24123.775319,0.13212700000076438,24123.907446,114,115,117,0.5707291565096231,0.8281987074586262 0.7363979576301447 -4.352006329809576e-05 -0.7182764408864233,24123.775319 24123.810557 24123.839391 24123.875497
3,24124.067613,2.9678139999996347,24127.035427,121,156,191,0.07894839375618981,0.57029646449314 0.8165303232421817 0.39970520178495944 0.21865487485964655 -0.04559083165095209 0.07452183305551781 0.125019649249535 0.08620416946072067 -0.0019928809122165855 -0.14056642977916492 -0.11804813449750319 -0.089318481102993 0.0030478009967619957 0.017059584205907363 0.07117222613493633 0.06844180872784217 0.07229655070651737 -0.0075429665971048256 -0.03368848475761624 -0.09230006635339269 -0.10939913265894527 -0.0380539599122035 0.006107553985011578 0.1338464828568064 0.05507566516732111 0.07026559361994927 -0.050577985763190926 -0.04117435560204231 -0.03967279336169571 0.012538131644544809 0.012717481265493078 -0.027059571453414213 -0.0383280728467156 0.008581109416237834 0.09407569351208703 0.11309132224955265 0.025590528278535387 -0.07554124112609847 -0.12477889478529128 -0.07913894155698806 -0.0293757323942871 -0.010315907484356995 -0.001625415219318638 -0.017981000396463182 -0.025181875036601842 -0.04371328240533601 -0.0568854907774323 -0.016187660102054427 -0.016217057831713382 -0.01585614047637672 -0.034716566825040845 0.0014133099517290519 0.05829951370710957 0.025686695213265696 -0.004294645085645736 -0.04185624891114043 0.08027501735839777 0.1807941201600964 0.20559064421280804 0.04518938331195309 -0.12298704684097853 -0.19198763030007768 -0.11830239623521846 -0.004210424206449003 0.06653047096138327 0.07170810102035398 0.03221863258403043 0.002233838580151193 0.029751407020121298 0.027761530955699654 0.009556861301665677 -0.044459642236389915 -0.055647631382178576 -0.03509197534466373 -0.05093782336280153 -0.028793233767553064 0.01677673323899541 0.07873928538878364 0.09209730895774428 0.04896386514812052 0.011260398539675828 -0.00017425152526799142 -0.01450814681715968 -0.04038231791178112 -0.08731988081708712 -0.055480938586830876 0.019118777909082244 0.06688734496643317 0.05530659363191513 -0.1831308709341675 -0.40290949084864985,24124.067613 24124.103374000002 24124.135517 24124.167196000002 24124.19932 24124.231435 24124.263435 24124.299384 24124.331306 24124.363352 24124.395458 24124.427396 24124.459274 24124.491439 24124.527458 24124.55936 24124.591333 24124.623436 24124.655479 24124.687417 24124.723466 24124.755391 24124.787325 24124.819366 24124.851388 24124.883468 24124.915394 24124.951326000002 24124.983338000002 24125.015417000002 24125.047461000002 24125.079438 24125.111362 24125.14737 24125.179360000002 24125.211413 24125.243505000002 24125.276149 24125.307367 24125.339378 24125.375322 24125.407435 24125.439431 24125.471412 24125.503468 24125.535654 24125.571355 24125.603470000002 24125.635448 24125.667488 24125.699427 24125.731715 24125.76344 24125.79939 24125.831418 24125.863578 24125.895510000002 24125.927428 24125.9594 24125.9954 24126.027461 24126.059390000002 24126.091475 24126.123448000002 24126.155359 24126.187371 24126.223457 24126.255474 24126.287432 24126.319501 24126.351461000002 24126.383318 24126.415429 24126.45142 24126.483476 24126.515347 24126.547476 24126.57935 24126.611435 24126.647457 24126.679457000002 24126.71144 24126.743355000002 24126.775270000002 24126.807441 24126.839424 24126.875436000002 24126.907472 24126.939321 24126.971258 24127.003454
4,24127.331643,0.39178700000047684,24127.723430000002,198,202,207,0.24329689195883994,0.5861880073738647 0.7798103762526023 0.4501661168560334 0.10082285243781629 -0.13489396405618878 -0.05220796308111611 0.006889969852476117 0.031453872240470374 -0.006806501641612981 -0.017950818227251 -0.26883795608560507 -0.4835343054010423,24127.331643 24127.363314000002 24127.395425 24127.427398 24127.45952 24127.49547 24127.527407 24127.559328 24127.591325 24127.623415000002 24127.655568000002 24127.687341
5,24128.047369,0.10000299999956042,24128.147372,214,215,217,0.39362744021967516,0.7100642621347331 0.15898000947121524 -0.31183804905307716,24128.047369 24128.079428 24128.115383
6,24128.243442,0.4241099999999278,24128.667552,219,224,229,0.16487261597340136,0.6848341338175813 0.3687479233474746 0.1714112863356321 -0.057752645644947184 0.008359100270559614 0.010406497796776326 0.03862795993558373 0.023994302556106857 -0.011428734849436012 -0.05812636174292275 -0.08298048193410348 -0.26050783413430006 -0.36616674528879356,24128.243442 24128.275444 24128.307403 24128.343422 24128.375265000002 24128.40741 24128.439404 24128.471432000002 24128.503391000002 24128.539283000002 24128.571272 24128.6035 24128.635436
7,24128.959337,1.0441460000001825,24130.003483,236,247,259,0.2085192367388055,0.5223204729460028 0.8129370155615979 0.5665420759414597 0.2959016024829557 -0.01361987327527097 -0.24604114248312778 -0.2601031149369422 -0.262169917955818 0.13797890984808184 0.1517235211183066 0.12834324994862958 0.002826162339115109 0.04792313636749605 0.1117815371668646 0.09437799819335593 0.08883725837467325 0.09967808677222048 -0.230598521571073 -0.3384761282229831 -0.4520096801192736 0.1376316537743386 0.2612060667256131 0.35100396162178277 0.06303971854625375 0.0037410858019928384 -0.007140132780517838 -0.019324632678112304 -0.044781061614965686 -0.08368759995010153 -0.08647221309088104 -0.27368799449096326 -0.4767100489410054,24128.959337 24128.995584 24129.027444 24129.059411000002 24129.091319 24129.12345 24129.155297 24129.191434 24129.223318 24129.255407 24129.287378 24129.319315 24129.351377 24129.383398 24129.419396 24129.451329 24129.483359 24129.515355 24129.547328 24129.5793 24129.615451 24129.647455000002 24129.679386 24129.711375 24129.74331 24129.775393 24129.807366 24129.843419 24129.875396 24129.907426 24129.939411 24129.971285
8,24130.331652,0.16372799999953713,24130.49538,267,269,271,0.6015101941662232,0.7759674381779211 0.6445242288672334 0.15309159972478506 -0.5107685978165398 -0.923199106244637,24130.331652 24130.363260000002 24130.395488000002 24130.427413 24130.46338
9,24131.047438,0.13224799999807146,24131.179686,284,285,287,0.35087174502865637,0.616937883515051 0.3411701472147514 -0.05604814714196141 -0.38933080224286165,24131.047438 24131.08348 24131.115391 24131.147449
10,24131.635508,0.13178900000275462,24131.767297000002,297,298,300,0.4450760894345036,0.529355869807419 0.7337290577995114 0.18303223211632894 -0.334187198014755,24131.635508 24131.667428 24131.699527 24131.735273000002
