pupil_timestamp,world_index,eye_id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
24119.047424,1,0,0.0,0.5,0.5,0.0,3d c++,320.0,240.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
24119.079457,2,0,0.0,0.5,0.5,0.0,3d c++,320.0,240.0,0.0,0.0,90.0,0.0,0.0,1,-0.9257853344103018,13.397559454383726,69.44351456121744,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,311.734477856411,359.61501249184886,214.27486920873858,214.27486920873858,90.0
24119.111662,2,0,0.9805668716486937,0.38239208461784757,0.30080416384092223,82.26775660733712,3d c++,244.73093415542243,335.61400135635733,59.881016156992104,82.26775660733712,21.43684721450839,7.852326641166185,0.9941821418535279,1,-0.9257853344103018,13.397559454383726,69.44351456121744,12.0,-7.408053058463852,9.20761187838722,60.25523156252315,-0.5401889770044626,-0.3491622979997088,-0.7656902498911912,3.9261633205830924,1.2141193384181102,-2.1851992454337497,311.734477856411,359.61501249184886,214.27486920873858,214.27486920873858,90.0
24119.143446000002,3,0,0.9638903502448166,0.38230948566829115,0.30115393325782447,81.862963552078,3d c++,244.67807082770634,335.44611203624424,59.520367308055,81.862963552078,21.537018908571653,7.81522476095456,0.9930335129888168,1,-0.9257853344103018,13.397559454383726,69.44351456121744,12.0,-7.413466812182233,9.19351415241371,60.26549777424441,-0.540640123147661,-0.3503371084975013,-0.7648347322477529,3.90761238047728,1.212865328535501,-2.1861193807801973,311.734477856411,359.61501249184886,214.27486920873858,214.27486920873858,90.0
24119.176705,4,0,0.0,0.5,0.5,0.0,3d c++,320.0,240.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
24119.211416000002,5,0,0.0,0.5,0.5,0.0,3d c++,320.0,240.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
24119.243443,5,0,0.0,0.5,0.5,0.0,3d c++,320.0,240.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
24119.275479,6,0,0.0,0.5,0.5,0.0,3d c++,320.0,240.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
24119.307437,7,0,0.0,0.5,0.5,0.0,3d c++,320.0,240.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
24119.339309,8,0,0.0,0.5,0.5,0.0,3d c++,320.0,240.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
24119.371373,8,0,0.0,0.5,0.5,0.0,3d c++,320.0,240.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
24119.40749,9,0,0.0,0.37411183118834607,0.3604528427124225,81.56540679525129,3d c++,239.43157196054148,306.9826354980372,48.15217971561746,81.56540679525129,34.34716415404997,2.0,0.0,1,-1152608.9385442429,931643.3406341468,8784200.457695356,12.0,-1.971884870374887,1.6751890983259226,15.423036306944883,0.7391328453265898,0.3855279648624924,-0.5523140639784617,1.0,1.9665762789629972,-0.6417362191753635,238.6474004846516,305.7565675982668,0.0016939504137755018,0.0016939504137755018,90.0
24119.439354000002,10,0,0.0,0.3755218744279351,0.36006266276058885,81.50433349604944,3d c++,240.33399963387848,307.16992187491735,48.185588836641976,81.50433349604944,33.55730056761822,2.0,0.0,1,-1152608.9385442429,931643.3406341468,8784200.457695356,12.0,-1.9504411009585807,1.680413341177049,15.431621287347419,0.7440569956922921,0.37572924706932537,-0.5524551747047702,1.0,1.955979879812896,-0.6386776138342172,238.6474004846516,305.7565675982668,0.0016939504137755018,0.0016939504137755018,90.0
24119.471467,11,0,0.0,0.37649194002142883,0.35785174369822714,81.86296082205136,3d c++,240.95484161371445,308.23116302485096,49.13067245880529,81.86296082205136,34.784492492671795,2.0,0.0,1,-1152608.9385442429,931643.3406341468,8784200.457695356,12.0,-1.9268195713258587,1.7005614871149466,15.368188492206677,0.7292687212036947,0.3841621453048608,-0.5662036545172549,1.0,1.9650964874386982,-0.6601836372113798,238.6474004846516,305.7565675982668,0.0016939504137755018,0.0016939504137755018,90.0
