world_index,world_timestamp,surface_name,event_type
0,38818.216099,Surface 1,enter
1054,38854.032057,Surface 1,exit
1056,38854.100056,Surface 1,enter
1070,38854.568237,Surface 1,exit
1072,38854.636109,Surface 1,enter
1078,38854.836064,Surface 1,exit
1080,38854.903894,Surface 1,enter
1083,38855.004432,Surface 1,exit
1085,38855.071979,Surface 1,enter
1089,38855.203824000004,Surface 1,exit
1091,38855.271894,Surface 1,enter
1094,38855.371904,Surface 1,exit
1097,38855.476078,Surface 1,enter
1111,38855.944328,Surface 1,exit
1115,38856.075751,Surface 1,enter
1135,38856.747874,Surface 1,exit
1138,38856.848082,Surface 1,enter
1141,38856.947965,Surface 1,exit
1147,38857.147881,Surface 1,enter
1165,38857.752001,Surface 1,exit
1170,38857.919917,Surface 1,enter
1171,38857.951935,Surface 1,exit
1175,38858.087907,Surface 1,enter
1175,38858.087907,Surface 1,exit
1178,38858.18786,Surface 1,enter
1178,38858.18786,Surface 1,exit
1181,38858.287853,Surface 1,enter
1201,38858.95992,Surface 1,exit
1205,38859.091815,Surface 1,enter
1212,38859.328006,Surface 1,exit
1214,38859.395871,Surface 1,enter
1214,38859.395871,Surface 1,exit
1216,38859.459867,Surface 1,enter
1218,38859.527981,Surface 1,exit
1224,38859.728226,Surface 1,enter
1226,38859.795895,Surface 1,exit
1228,38859.864126,Surface 1,enter
1247,38860.500147,Surface 1,exit
1249,38860.567984,Surface 1,enter
1257,38860.836121,Surface 1,exit
1259,38860.904217,Surface 1,enter
1263,38861.035805,Surface 1,exit
1267,38861.172189,Surface 1,enter
1272,38861.339806,Surface 1,exit
1277,38861.50394,Surface 1,enter
1278,38861.539962,Surface 1,exit
1286,38861.807917,Surface 1,enter
1286,38861.807917,Surface 1,exit
1289,38861.907855,Surface 1,enter
1290,38861.939893,Surface 1,exit
1292,38862.007959,Surface 1,enter
1310,38862.61184,Surface 1,exit
1312,38862.679869,Surface 1,enter
1315,38862.779887,Surface 1,exit
1318,38862.879896,Surface 1,enter
1326,38863.147878,Surface 1,exit
1339,38863.584345,Surface 1,enter
1361,38864.320465,Surface 1,exit
1364,38864.420348,Surface 1,enter
1374,38864.75612,Surface 1,exit
1376,38864.823909,Surface 1,enter
1380,38864.955888,Surface 1,exit
1383,38865.059927,Surface 1,enter
1406,38865.827947,Surface 1,exit
1408,38865.895908,Surface 1,enter
1409,38865.928075,Surface 1,exit
1412,38866.027903,Surface 1,enter
1774,38878.160008,Surface 1,exit
1776,38878.22792,Surface 1,enter
1776,38878.22792,Surface 1,exit
1778,38878.296147,Surface 1,enter
1778,38878.296147,Surface 1,exit
1780,38878.35997,Surface 1,enter
1784,38878.495916,Surface 1,exit
1786,38878.564124,Surface 1,enter
1804,38879.163958,Surface 1,exit
1806,38879.232039,Surface 1,enter
1979,38885.031987,Surface 1,exit
1981,38885.096046,Surface 1,enter
2006,38885.935894,Surface 1,exit
2009,38886.036072,Surface 1,enter
2013,38886.168231,Surface 1,exit
2016,38886.271932,Surface 1,enter
2022,38886.471993,Surface 1,exit
2024,38886.539868,Surface 1,enter
2197,38892.336321,Surface 1,exit
2200,38892.436151,Surface 1,enter
2554,38904.299881,Surface 1,exit
