world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
0,38818.216099,"[[ 1.61443928e-03  1.74093772e-04 -5.91146289e-01]
 [ 2.12839437e-04 -2.52748995e-03  1.72866614e+00]
 [-3.59722911e-05  2.34228387e-05  9.93832424e-01]]","[[ 6.19883725e+02  4.53830866e+01  2.89776980e+02]
 [ 6.64744669e+01 -3.84506253e+02  7.08347866e+02]
 [ 2.08703364e-02  1.07047841e-02  1.00000000e+00]]",4,"[[ 1.92436462e-03  6.21172323e-05 -7.01535072e-01]
 [ 3.20352565e-04 -3.18747690e-03  1.99910914e+00]
 [ 3.36737976e-05 -2.25376728e-04  1.13756796e+00]]","[[ 5.16012193e+02 -1.42103370e+01  3.43195906e+02]
 [ 4.82802170e+01 -3.59571431e+02  6.61668427e+02]
 [-5.70941966e-03 -7.08182013e-02  1.00000000e+00]]"
1,38818.243809,"[[ 1.60829699e-03  1.82545119e-04 -5.94583784e-01]
 [ 2.10018548e-04 -2.50928488e-03  1.71872046e+00]
 [-4.16633212e-05  3.34019125e-05  9.88362387e-01]]","[[ 6.22848092e+02  4.91606079e+01  2.89207721e+02]
 [ 6.85275239e+01 -3.84094957e+02  7.09150028e+02]
 [ 2.39395692e-02  1.50528799e-02  1.00000000e+00]]",3,"[[ 1.92855881e-03  5.67857596e-05 -6.99205230e-01]
 [ 3.20923231e-04 -3.19676662e-03  2.00630678e+00]
 [ 3.75755567e-05 -2.29121623e-04  1.13879811e+00]]","[[ 5.14408857e+02 -1.54503812e+01  3.43059549e+02]
 [ 4.69126673e+01 -3.59433431e+02  6.62044748e+02]
 [-7.53469171e-03 -7.18067702e-02  1.00000000e+00]]"
2,38818.275781000004,"[[ 1.61453160e-03  1.72884251e-04 -5.89831183e-01]
 [ 2.10786985e-04 -2.52579400e-03  1.73214256e+00]
 [-3.58181966e-05  2.40410510e-05  9.93295129e-01]]","[[ 6.19893909e+02  4.51838723e+01  2.89307620e+02]
 [ 6.59670557e+01 -3.84642606e+02  7.09925212e+02]
 [ 2.07567358e-02  1.09389617e-02  1.00000000e+00]]",4,"[[ 1.92657494e-03  5.94158776e-05 -7.00285591e-01]
 [ 3.19205170e-04 -3.19072353e-03  2.00531221e+00]
 [ 3.46668311e-05 -2.26794218e-04  1.13842708e+00]]","[[ 5.15333096e+02 -1.47872364e+01  3.43046450e+02]
 [ 4.76593593e+01 -3.59632440e+02  6.62800896e+02]
 [-6.19811178e-03 -7.11946623e-02  1.00000000e+00]]"
3,38818.312158,"[[ 1.61496418e-03  1.73433894e-04 -5.90203467e-01]
 [ 2.10806202e-04 -2.52601500e-03  1.73358645e+00]
 [-3.51511751e-05  2.51778254e-05  9.92277544e-01]]","[[ 6.19573710e+02  4.54215972e+01  2.89165353e+02]
 [ 6.56260608e+01 -3.84293545e+02  7.10425037e+02]
 [ 2.02830575e-02  1.13600256e-02  1.00000000e+00]]",4,"[[ 1.92766538e-03  5.94785551e-05 -7.00639644e-01]
 [ 3.19568281e-04 -3.19305178e-03  2.00790193e+00]
 [ 3.55949186e-05 -2.26459212e-04  1.13797027e+00]]","[[ 5.14871489e+02 -1.47358874e+01  3.43003330e+02]
 [ 4.73244798e+01 -3.59331679e+02  6.63163348e+02]
 [-6.68712049e-03 -7.10470633e-02  1.00000000e+00]]"
4,38818.343928,"[[ 1.61527053e-03  1.73212568e-04 -5.90364796e-01]
 [ 2.11617444e-04 -2.52812027e-03  1.73440805e+00]
 [-3.50665411e-05  2.48604017e-05  9.92488162e-01]]","[[ 6.19439520e+02  4.52856003e+01  2.89324938e+02]
 [ 6.57356480e+01 -3.84062541e+02  7.10264570e+02]
 [ 2.02394220e-02  1.12202431e-02  1.00000000e+00]]",4,"[[ 1.92766964e-03  5.93088063e-05 -7.00706253e-01]
 [ 3.20338368e-04 -3.19522075e-03  2.00871865e+00]
 [ 3.55321627e-05 -2.26752036e-04  1.13815940e+00]]","[[ 5.14894808e+02 -1.47910050e+01  3.43098673e+02]
 [ 4.74597598e+01 -3.59141275e+02  6.63061017e+02]
 [-6.61922128e-03 -7.10888642e-02  1.00000000e+00]]"
5,38818.379747,"[[ 1.61507040e-03  1.73265235e-04 -5.90872259e-01]
 [ 2.13333436e-04 -2.52872833e-03  1.73308412e+00]
 [-3.48427855e-05  2.51175213e-05  9.92265644e-01]]","[[ 6.19431633e+02  4.53202341e+01  2.89701847e+02]
 [ 6.60195190e+01 -3.83881782e+02  7.09798357e+02]
 [ 2.00797810e-02  1.13087076e-02  1.00000000e+00]]",4,"[[ 1.92630571e-03  5.97937555e-05 -7.00971336e-01]
 [ 3.21481536e-04 -3.19442373e-03  2.00675182e+00]
 [ 3.50253925e-05 -2.26045759e-04  1.13778820e+00]]","[[ 5.15330548e+02 -1.46483006e+01  3.43321760e+02]
 [ 4.78708793e+01 -3.59047795e+02  6.62755978e+02]
 [-6.35324347e-03 -7.08815306e-02  1.00000000e+00]]"
6,38818.416845,"[[ 1.61592091e-03  1.73194442e-04 -5.92378729e-01]
 [ 2.15191224e-04 -2.53034198e-03  1.73134836e+00]
 [-3.41001577e-05  2.46844261e-05  9.92409632e-01]]","[[ 6.18955330e+02  4.52006133e+01  2.90603753e+02]
 [ 6.60664874e+01 -3.83765379e+02  7.08949124e+02]
 [ 1.96246191e-02  1.10986188e-02  1.00000000e+00]]",4,"[[ 1.92506264e-03  6.05622070e-05 -7.02105414e-01]
 [ 3.21995211e-04 -3.19293717e-03  2.00370470e+00]
 [ 3.44538044e-05 -2.25640696e-04  1.13757614e+00]]","[[ 5.15737559e+02 -1.45196093e+01  3.43884797e+02]
 [ 4.82085256e+01 -3.59075236e+02  6.62222226e+02]
 [-6.05789400e-03 -7.07835963e-02  1.00000000e+00]]"
7,38818.443824,"[[ 1.61676943e-03  1.73480791e-04 -5.94022460e-01]
 [ 2.16831641e-04 -2.53276094e-03  1.72981637e+00]
 [-3.36294275e-05  2.28239450e-05  9.93643652e-01]]","[[ 6.18545430e+02  4.49935212e+01  2.91451918e+02]
 [ 6.62131111e+01 -3.83911316e+02  7.07927990e+02]
 [ 1.94134832e-02  1.03412095e-02  1.00000000e+00]]",4,"[[ 1.92394683e-03  6.19066121e-05 -7.03539106e-01]
 [ 3.22496903e-04 -3.19160294e-03  2.00032838e+00]
 [ 3.39298105e-05 -2.26303409e-04  1.13802511e+00]]","[[ 5.16106583e+02 -1.44083917e+01  3.44388428e+02]
 [ 4.85580342e+01 -3.59287826e+02  6.61546133e+02]
 [-5.73146396e-03 -7.10170496e-02  1.00000000e+00]]"
8,38818.479831,"[[ 1.61730370e-03  1.74307558e-04 -5.95266216e-01]
 [ 2.18705363e-04 -2.53305987e-03  1.72703398e+00]
 [-3.31698697e-05  2.22068967e-05  9.93980849e-01]]","[[ 6.18200327e+02  4.50989590e+01  2.91863103e+02]
 [ 6.64291313e+01 -3.84010145e+02  7.06997107e+02]
 [ 1.91456802e-02  1.00842991e-02  1.00000000e+00]]",4,"[[ 1.92295319e-03  6.36361496e-05 -7.04665877e-01]
 [ 3.23623837e-04 -3.18861944e-03  1.99582799e+00]
 [ 3.35998870e-05 -2.25856441e-04  1.13768953e+00]]","[[ 5.16385838e+02 -1.41015748e+01  3.44578892e+02]
 [ 4.89460371e+01 -3.59451050e+02  6.60894777e+02]
 [-5.53378396e-03 -7.09424859e-02  1.00000000e+00]]"
9,38818.51226,"[[ 1.61772486e-03  1.74591246e-04 -5.95741182e-01]
 [ 2.20070548e-04 -2.53355535e-03  1.72528636e+00]
 [-3.27699670e-05  2.11178193e-05  9.94653361e-01]]","[[ 6.17943580e+02  4.50175779e+01  2.92027592e+02]
 [ 6.65773018e+01 -3.84226779e+02  7.06340608e+02]
 [ 1.89453171e-02  9.64080212e-03  1.00000000e+00]]",4,"[[ 1.92263237e-03  6.45277587e-05 -7.05189430e-01]
 [ 3.24726063e-04 -3.18693217e-03  1.99279746e+00]
 [ 3.37704358e-05 -2.26185895e-04  1.13773909e+00]]","[[ 5.16432021e+02 -1.40020509e+01  3.44618251e+02]
 [ 4.91450018e+01 -3.59658040e+02  6.60416938e+02]
 [-5.55859271e-03 -7.10854722e-02  1.00000000e+00]]"
