world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
10,24119.439583,"[[ 2.01596477e-03  1.65597191e-04 -1.44422558e+00]
 [ 8.96548006e-05 -3.70012778e-03  2.79369856e+00]
 [-5.34196654e-05  5.25238555e-05  9.94398905e-01]]","[[ 5.11914616e+02  3.21809427e+01  6.53074259e+02]
 [ 3.18953081e+01 -2.57891127e+02  7.70851702e+02]
 [ 2.58156388e-02  1.53505111e-02  1.00000000e+00]]",4,"[[ 2.31962598e-03  7.39380246e-05 -1.64790363e+00]
 [ 2.08511657e-04 -4.26983780e-03  3.04678333e+00]
 [ 5.80270984e-05 -1.06719930e-04  1.03988761e+00]]","[[ 4.14824981e+02 -9.97766984e+00  6.86604379e+02]
 [ 4.03561739e+00 -2.52803722e+02  7.47088881e+02]
 [-2.27336193e-02 -2.53875707e-02  1.00000000e+00]]"
11,24119.481859,"[[ 2.01688470e-03  1.65426294e-04 -1.44482428e+00]
 [ 9.03055279e-05 -3.70056725e-03  2.79374532e+00]
 [-5.28783716e-05  5.21330714e-05  9.94347922e-01]]","[[ 5.11502178e+02  3.20669399e+01  6.53135474e+02]
 [ 3.17606507e+01 -2.57948868e+02  7.70889127e+02]
 [ 2.55359532e-02  1.52293920e-02  1.00000000e+00]]",4,"[[ 2.32074018e-03  7.36622930e-05 -1.64859154e+00]
 [ 2.09296731e-04 -4.27054962e-03  3.04691139e+00]
 [ 5.87162299e-05 -1.07314318e-04  1.03985900e+00]]","[[ 4.14435547e+02 -1.01064394e+01  6.86658825e+02]
 [ 3.90237272e+00 -2.52868988e+02  7.47123233e+02]
 [-2.29986107e-02 -2.55256252e-02  1.00000000e+00]]"
12,24119.523276,"[[ 2.01540789e-03  1.66518676e-04 -1.44418880e+00]
 [ 8.95043497e-05 -3.69975347e-03  2.79361802e+00]
 [-5.39068218e-05  5.27438605e-05  9.94535777e-01]]","[[ 5.12203195e+02  3.23607811e+01  6.52881947e+02]
 [ 3.20702704e+01 -2.57855205e+02  7.70876713e+02]
 [ 2.60621459e-02  1.54290536e-02  1.00000000e+00]]",4,"[[ 2.31932917e-03  7.48774406e-05 -1.64805297e+00]
 [ 2.08569811e-04 -4.26984536e-03  3.04680939e+00]
 [ 5.76911933e-05 -1.06551144e-04  1.04000156e+00]]","[[ 4.14970285e+02 -9.85293913e+00  6.86453815e+02]
 [ 4.14756656e+00 -2.52771060e+02  7.47095659e+02]
 [-2.25943921e-02 -2.53505561e-02  1.00000000e+00]]"
13,24119.565352,"[[ 2.01457637e-03  1.66444497e-04 -1.44308373e+00]
 [ 8.86350832e-05 -3.69954790e-03  2.79380735e+00]
 [-5.40445203e-05  5.27079787e-05  9.94643522e-01]]","[[ 5.12466899e+02  3.23543465e+01  6.52636667e+02]
 [ 3.20243047e+01 -2.57880650e+02  7.70811444e+02]
 [ 2.61481533e-02  1.54235589e-02  1.00000000e+00]]",4,"[[ 2.31860321e-03  7.49737711e-05 -1.64713598e+00]
 [ 2.07754319e-04 -4.26935215e-03  3.04673132e+00]
 [ 5.76905008e-05 -1.06207626e-04  1.03974968e+00]]","[[ 4.15095809e+02 -9.78207203e+00  6.86244585e+02]
 [ 4.05920531e+00 -2.52739784e+02  7.47022378e+02]
 [-2.26169500e-02 -2.52739293e-02  1.00000000e+00]]"
14,24119.606833,"[[ 2.01491167e-03  1.65222107e-04 -1.44272056e+00]
 [ 8.92742777e-05 -3.70098165e-03  2.79343726e+00]
 [-5.40618913e-05  5.15284237e-05  9.95589466e-01]]","[[ 5.12399677e+02  3.19643554e+01  6.52838494e+02]
 [ 3.21068260e+01 -2.58037222e+02  7.70530418e+02]
 [ 2.61622711e-02  1.50908636e-02  1.00000000e+00]]",4,"[[ 2.31839772e-03  7.39865698e-05 -1.64655005e+00]
 [ 2.08118834e-04 -4.26966556e-03  3.04574861e+00]
 [ 5.74041842e-05 -1.07052587e-04  1.04054618e+00]]","[[ 4.15236412e+02 -1.00140395e+01  6.86377785e+02]
 [ 4.20796668e+00 -2.52861913e+02  7.46802463e+02]
 [-2.24745756e-02 -2.54622762e-02  1.00000000e+00]]"
15,24119.648465000002,"[[ 2.01551118e-03  1.64063166e-04 -1.44291420e+00]
 [ 8.96698868e-05 -3.70220987e-03  2.79376935e+00]
 [-5.41058182e-05  5.03208436e-05  9.96572080e-01]]","[[ 5.12281771e+02  3.15799683e+01  6.53190579e+02]
 [ 3.21701132e+01 -2.58211385e+02  7.70442783e+02]
 [ 2.61883688e-02  1.47526456e-02  1.00000000e+00]]",4,"[[ 2.31844415e-03  7.28021182e-05 -1.64633520e+00]
 [ 2.08173109e-04 -4.27028704e-03  3.04592295e+00]
 [ 5.69838860e-05 -1.08348464e-04  1.04178172e+00]]","[[ 4.15375295e+02 -1.03406962e+01  6.86654333e+02]
 [ 4.36710956e+00 -2.53049036e+02  7.46756808e+02]
 [-2.22662084e-02 -2.57522481e-02  1.00000000e+00]]"
16,24119.690533,"[[ 2.01484735e-03  1.65464293e-04 -1.44367791e+00]
 [ 9.03806294e-05 -3.70069064e-03  2.79196766e+00]
 [-5.43371920e-05  5.08604203e-05  9.96313088e-01]]","[[ 5.12502060e+02  3.18928293e+01  6.53252638e+02]
 [ 3.23579143e+01 -2.58185076e+02  7.70399183e+02]
 [ 2.62991484e-02  1.49193747e-02  1.00000000e+00]]",4,"[[ 2.31733672e-03  7.44182522e-05 -1.64688226e+00]
 [ 2.08696520e-04 -4.26832620e-03  3.04396736e+00]
 [ 5.64489112e-05 -1.07712794e-04  1.04166877e+00]]","[[ 4.15710201e+02 -1.00811899e+01  6.86698678e+02]
 [ 4.59932135e+00 -2.53047645e+02  7.46728070e+02]
 [-2.20520986e-02 -2.56198491e-02  1.00000000e+00]]"
17,24119.746619,"[[ 2.01154899e-03  1.65707091e-04 -1.44179022e+00]
 [ 9.09877863e-05 -3.70630444e-03  2.79549317e+00]
 [-5.79211864e-05  4.57529574e-05  1.00259686e+00]]","[[ 5.14535342e+02  3.10693900e+01  6.53301228e+02]
 [ 3.38856408e+01 -2.58786563e+02  7.70291716e+02]
 [ 2.81789524e-02  1.36044975e-02  1.00000000e+00]]",3,"[[ 2.31211676e-03  7.48743268e-05 -1.64368703e+00]
 [ 2.09408554e-04 -4.27406120e-03  3.04738790e+00]
 [ 5.11256276e-05 -1.12879108e-04  1.04917116e+00]]","[[ 4.18298210e+02 -1.08086501e+01  6.86722549e+02]
 [ 6.45656059e+00 -2.53575417e+02  7.46641971e+02]
 [-1.96888254e-02 -2.67551845e-02  1.00000000e+00]]"
18,24119.791805,"[[ 2.01000633e-03  1.64602301e-04 -1.43979949e+00]
 [ 8.93972494e-05 -3.70784814e-03  2.79806680e+00]
 [-6.00840557e-05  4.37788677e-05  1.00552209e+00]]","[[ 5.15676277e+02  3.06051069e+01  6.53228117e+02]
 [ 3.45510081e+01 -2.59068410e+02  7.70383114e+02]
 [ 2.93094684e-02  1.31082158e-02  1.00000000e+00]]",3,"[[ 2.31177578e-03  7.35842973e-05 -1.64241406e+00]
 [ 2.08119492e-04 -4.27722182e-03  3.05091246e+00]
 [ 5.00082219e-05 -1.16029028e-04  1.05229949e+00]]","[[ 4.18741958e+02 -1.14239777e+01  6.86687811e+02]
 [ 6.70820651e+00 -2.53937241e+02  7.46705622e+02]
 [-1.91601291e-02 -2.74568208e-02  1.00000000e+00]]"
19,24119.83491,"[[ 2.01420220e-03  1.66176053e-04 -1.44332201e+00]
 [ 8.91236002e-05 -3.70116459e-03  2.79370419e+00]
 [-5.54388265e-05  5.14928169e-05  9.96524252e-01]]","[[ 5.13026479e+02  3.21189675e+01  6.53001181e+02]
 [ 3.26242524e+01 -2.58000216e+02  7.70541795e+02]
 [ 2.68550126e-02  1.51183433e-02  1.00000000e+00]]",4,"[[ 2.31739766e-03  7.49348501e-05 -1.64689626e+00]
 [ 2.07854155e-04 -4.26996946e-03  3.04622090e+00]
 [ 5.57419501e-05 -1.07299134e-04  1.04186578e+00]]","[[ 4.15897932e+02 -9.95263339e+00  6.86517093e+02]
 [ 4.71746707e+00 -2.52877706e+02  7.46824154e+02]
 [-2.17655498e-02 -2.55107522e-02  1.00000000e+00]]"
20,24119.876988,"[[ 2.01392297e-03  1.66365029e-04 -1.44280357e+00]
 [ 8.85399666e-05 -3.69951406e-03  2.79372499e+00]
 [-5.47443176e-05  5.26284944e-05  9.95168828e-01]]","[[ 5.12864573e+02  3.23489961e+01  6.52742147e+02]
 [ 3.22899109e+01 -2.57888733e+02  7.70781976e+02]
 [ 2.65051024e-02  1.54177050e-02  1.00000000e+00]]",4,"[[ 2.31775304e-03  7.48970543e-05 -1.64669679e+00]
 [ 2.07522858e-04 -4.26929770e-03  3.04675313e+00]
 [ 5.68321549e-05 -1.06368727e-04  1.04045214e+00]]","[[ 4.15501641e+02 -9.81061269e+00  6.86332130e+02]
 [ 4.31492897e+00 -2.52766326e+02  7.47004064e+02]
 [-2.22546327e-02 -2.53052238e-02  1.00000000e+00]]"
21,24119.918794,"[[ 2.01548626e-03  1.64238908e-04 -1.44220150e+00]
 [ 8.87871483e-05 -3.70204063e-03  2.79458042e+00]
 [-5.39818412e-05  5.08228873e-05  9.96077138e-01]]","[[ 5.12245798e+02  3.16869509e+01  6.52770653e+02]
 [ 3.20085107e+01 -2.58123135e+02  7.70531270e+02]
 [ 2.61277017e-02  1.48874845e-02  1.00000000e+00]]",4,"[[ 2.31922442e-03  7.29599691e-05 -1.64621227e+00]
 [ 2.07782663e-04 -4.27074962e-03  3.04677374e+00]
 [ 5.76854895e-05 -1.07641863e-04  1.04079591e+00]]","[[ 4.15022569e+02 -1.02081708e+01  6.86318255e+02]
 [ 4.08314171e+00 -2.52903753e+02  7.46796009e+02]
 [-2.25800879e-02 -2.55901925e-02  1.00000000e+00]]"
