world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence
24119.040971,1,24119.047424,3.015637136119002,-4.255427468028928,3.015637136119002,-4.255427468028928,False,0.0
24119.088971,2,24119.079457,3.98933171937351,-6.721283771648147,3.98933171937351,-6.721283771648147,False,0.0
24119.088971,2,24119.111662,0.14018919333606272,0.39434517998300583,0.14018919333606272,0.39434517998300583,True,0.9805668716486937
24119.134787,3,24119.143446000002,0.138188120513332,0.39019061998158655,0.138188120513332,0.39019061998158655,True,0.9638903502448166
24119.180839,4,24119.176705,3.0105405897001822,-4.246086036048845,3.0105405897001822,-4.246086036048845,False,0.0
24119.225906,5,24119.211416000002,3.0115730688467894,-4.248514889292416,3.0115730688467894,-4.248514889292416,False,0.0
24119.225906,5,24119.243443,3.0115730688467894,-4.248514889292416,3.0115730688467894,-4.248514889292416,False,0.0
24119.268876000002,6,24119.275479,3.014717166372397,-4.253834588571781,3.014717166372397,-4.253834588571781,False,0.0
24119.311411,7,24119.307437,3.0227378453295763,-4.270228125926883,3.0227378453295763,-4.270228125926883,False,0.0
24119.353748,8,24119.339309,3.0290806168230087,-4.281260345204279,3.0290806168230087,-4.281260345204279,False,0.0
24119.353748,8,24119.371373,3.0290806168230087,-4.281260345204279,3.0290806168230087,-4.281260345204279,False,0.0
24119.397265,9,24119.40749,0.42630811259791473,2.827953264912041,0.42630811259791473,2.827953264912041,False,0.0
24119.439583,10,24119.439354000002,0.42569876074640045,2.8281237574611313,0.42569876074640045,2.8281237574611313,False,0.0
24119.481859,11,24119.471467,0.4257541382657444,2.8275106763473947,0.4257541382657444,2.8275106763473947,False,0.0
24119.523276,12,24119.503491,0.42538578406067495,2.8287936577134625,0.42538578406067495,2.8287936577134625,False,0.0
24119.523276,12,24119.53554,0.4253866907147936,2.8287940730162733,0.4253866907147936,2.8287940730162733,False,0.0
24119.565352,13,24119.56735,0.42575662772962425,2.828228663457907,0.42575662772962425,2.828228663457907,False,0.0
24119.606833,14,24119.599482,0.426005783970474,2.825787071622058,0.426005783970474,2.825787071622058,False,0.0
24119.648465000002,15,24119.635446,0.4259184474880047,2.823834051252149,0.4259184474880047,2.823834051252149,False,0.0
24119.648465000002,15,24119.667437,0.425919181211567,2.8238320702786046,0.425919181211567,2.8238320702786046,False,0.0
24119.690533,16,24119.69948,0.42475226075611483,2.824016419164332,0.42475226075611483,2.824016419164332,False,0.0
24119.746619,17,24119.731356,0.42236166008346326,2.8198449244877684,0.42236166008346326,2.8198449244877684,False,0.0
24119.746619,17,24119.763478,0.4223621164425463,2.819842413602734,0.4223621164425463,2.819842413602734,False,0.0
24119.791805,18,24119.795433,0.4225369493364875,2.818426876202012,0.4225369493364875,2.818426876202012,False,0.0
24119.83491,19,24119.831369,0.4248864417227848,2.8268783125315378,0.4248864417227848,2.8268783125315378,False,0.0
24119.876988,20,24119.863414,0.4254708437797481,2.8284020552159594,0.4254708437797481,2.8284020552159594,False,0.0
24119.876988,20,24119.895401,0.4254724505358922,2.8284037624818517,0.4254724505358922,2.8284037624818517,False,0.0
24119.918794,21,24119.927443,0.4268150992841055,2.8249093582926226,0.4268150992841055,2.8249093582926226,False,0.0
24119.96087,22,24119.959288000002,0.4264817497749549,2.823998942014193,0.4264817497749549,2.823998942014193,False,0.0
24120.001894,23,24119.991296,0.4266438290569743,2.822493039118373,0.4266438290569743,2.822493039118373,False,0.0
24120.001894,23,24120.023391,0.42664405994327775,2.8224917274379298,0.42664405994327775,2.8224917274379298,False,0.0
24120.051745,24,24120.05929,0.4268110826306167,2.8229530151357096,0.4268110826306167,2.8229530151357096,False,0.0
24120.094215,25,24120.091462,0.42584353314688633,2.8282579549238585,0.42584353314688633,2.8282579549238585,False,0.0
24120.135551,26,24120.123468,0.4259825660820004,2.828348672030353,0.4259825660820004,2.828348672030353,False,0.0
24120.135551,26,24120.15529,0.4259824003177633,2.8283461723319534,0.4259824003177633,2.8283461723319534,False,0.0
24120.175713,27,24120.187331,0.4266917868653057,2.8254047923493166,0.4266917868653057,2.8254047923493166,False,0.0
24120.217713000002,28,24120.219432,0.42683893627767105,2.824687511896394,0.42683893627767105,2.824687511896394,False,0.0
24120.257778,29,24120.255427,0.426768643099673,2.8233603273107652,0.426768643099673,2.8233603273107652,False,0.0
24120.30269,30,24120.287467000002,0.4220072217859164,2.8015962543265056,0.4220072217859164,2.8015962543265056,False,0.0
24120.30269,30,24120.319375,0.4220066430061503,2.801598248388179,0.4220066430061503,2.801598248388179,False,0.0
24120.345034,31,24120.351374,0.4234720282880459,2.811309282211366,0.4234720282880459,2.811309282211366,False,0.0
24120.385127,32,24120.383328,0.423559466908298,2.8125949288934184,0.423559466908298,2.8125949288934184,False,0.0
24120.426985000002,33,24120.415488000002,0.4230162339978466,2.808490630453545,0.4230162339978466,2.808490630453545,False,0.0
24120.426985000002,33,24120.447382000002,0.4230162547700085,2.8084928443707127,0.4230162547700085,2.8084928443707127,False,0.0
24120.468249,34,24120.483404000002,0.42752160415450735,2.824963548217494,0.42752160415450735,2.824963548217494,False,0.0
24120.508981,35,24120.516302,0.4214295137071109,2.7998109818547414,0.4214295137071109,2.7998109818547414,False,0.0
24120.551181,36,24120.54746,0.423062338414816,2.8087430305416965,0.423062338414816,2.8087430305416965,False,0.0
24120.595137,37,24120.579415,0.4237603995932337,2.8106639562431734,0.4237603995932337,2.8106639562431734,False,0.0
24120.595137,37,24120.61135,0.4237604311200618,2.8106634263962347,0.4237604311200618,2.8106634263962347,False,0.0
