world_timestamp,world_index,fixation_id,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf
14707.125537,924,633,14707.213568000001,165.84700000021257,0.5176874907410663,0.19061864912509918,0.17764060199260712,0.19061864912509918,0.17764060199260712,True
14707.304926,925,633,14707.213568000001,165.84700000021257,0.5176874907410663,0.19176927208900452,0.16269062459468842,0.19176927208900452,0.16269062459468842,True
14707.474132000001,926,634,14707.396542,91.28899999996065,1.309185735367141,0.2300117164850235,0.20845744013786316,0.2300117164850235,0.20845744013786316,True
14707.656791,927,635,14707.580148000001,155.28900000026624,0.4588625675612703,0.40970632433891296,0.42766961455345154,0.40970632433891296,0.42766961455345154,True
14707.815483,928,636,14707.890257000001,98.44599999996717,0.6527074777756093,0.2381148636341095,0.3097769021987915,0.2381148636341095,0.3097769021987915,True
14708.002699,929,636,14707.890257000001,98.44599999996717,0.6527074777756093,0.2382497638463974,0.3169323205947876,0.2382497638463974,0.3169323205947876,True
14708.002699,929,637,14708.017222,92.25900000092224,1.467088423842952,0.24296268820762634,0.2537616789340973,0.24296268820762634,0.2537616789340973,True
14708.159321000001,930,637,14708.017222,92.25900000092224,1.467088423842952,0.24080318212509155,0.2411596029996872,0.24080318212509155,0.2411596029996872,True
14708.159321000001,930,638,14708.131084,206.93500000015774,0.6606654637525777,0.24702440202236176,0.22322852909564972,0.24702440202236176,0.22322852909564972,True
14708.321831000001,931,638,14708.131084,206.93500000015774,0.6606654637525777,0.23976336419582367,0.22438208758831024,0.23976336419582367,0.22438208758831024,True
14708.321831000001,931,639,14708.361932,87.08800000022165,0.4323016684667273,0.2452573925256729,0.23216512799263,0.2452573925256729,0.23216512799263,True
14708.488584,932,639,14708.361932,87.08800000022165,0.4323016684667273,0.24585819244384766,0.22253896296024323,0.24585819244384766,0.22253896296024323,True
14709.495179,938,640,14709.454753,80.56000000033237,1.1548989730608277,0.6459174752235413,0.323371022939682,0.6459174752235413,0.323371022939682,True
14709.495179,938,641,14709.579153,99.09499999957916,0.49268007745084996,0.5186333656311035,0.32552823424339294,0.5186333656311035,0.32552823424339294,True
14709.718809,939,641,14709.579153,99.09499999957916,0.49268007745084996,0.5096669793128967,0.3316236734390259,0.5096669793128967,0.3316236734390259,True
14709.718809,939,642,14709.727909000001,195.25199999952747,0.7995961228397891,0.4126959443092346,0.374610036611557,0.4126959443092346,0.374610036611557,True
14709.896999,940,642,14709.727909000001,195.25199999952747,0.7995961228397891,0.4069804251194,0.37521758675575256,0.4069804251194,0.37521758675575256,True
14709.896999,940,643,14709.958281000001,203.46799999970244,1.253568173556114,0.19998660683631897,0.18527430295944214,0.19998660683631897,0.18527430295944214,True
14710.086694,941,643,14709.958281000001,203.46799999970244,1.253568173556114,0.1916879117488861,0.18467606604099274,0.1916879117488861,0.18467606604099274,True
14710.246323,942,644,14710.32817,101.10299999905692,0.8034640129601806,0.22065338492393494,0.20537813007831573,0.22065338492393494,0.20537813007831573,True
14710.413037,943,644,14710.32817,101.10299999905692,0.8034640129601806,0.2160821110010147,0.21317057311534882,0.2160821110010147,0.21317057311534882,True
14710.413037,943,645,14710.446747,209.49900000050548,0.658729136142257,0.258110910654068,0.1942739337682724,0.258110910654068,0.1942739337682724,True
14710.560267,944,645,14710.446747,209.49900000050548,0.658729136142257,0.24519464373588562,0.18459920585155487,0.24519464373588562,0.18459920585155487,True
14710.793238,945,646,14710.682596,165.60700000081852,0.18470317874917028,0.24135439097881317,0.22546619176864624,0.24135439097881317,0.22546619176864624,True
14710.972735000001,946,647,14710.9136,199.26699999996345,0.768237493748245,0.24757502973079681,0.23111820220947266,0.24757502973079681,0.23111820220947266,True
14711.122441,947,647,14710.9136,199.26699999996345,0.768237493748245,0.24234339594841003,0.22319196164608002,0.24234339594841003,0.22319196164608002,True
14711.285406,948,648,14711.218069,159.29700000015146,0.32980563000072605,0.38790789246559143,0.41376033425331116,0.38790789246559143,0.41376033425331116,True
14711.501592,949,649,14711.425411,193.9280000005965,1.3376401684149781,0.22028739750385284,0.22483371198177338,0.22028739750385284,0.22483371198177338,True
14711.70757,950,649,14711.425411,193.9280000005965,1.3376401684149781,0.20101839303970337,0.20906931161880493,0.20101839303970337,0.20906931161880493,True
14711.70757,950,650,14711.648939,196.00700000046345,1.130213097132757,0.22544677555561066,0.22100301086902618,0.22544677555561066,0.22100301086902618,True
14711.857567000001,951,650,14711.648939,196.00700000046345,1.130213097132757,0.22181294858455658,0.22448493540287018,0.22181294858455658,0.22448493540287018,True
14711.857567000001,951,651,14711.874986,202.3750000007567,0.3039999215535307,0.22601750493049622,0.2265278548002243,0.22601750493049622,0.2265278548002243,True
14712.011156,952,651,14711.874986,202.3750000007567,0.3039999215535307,0.22535842657089233,0.23193790018558502,0.22535842657089233,0.23193790018558502,True
14712.162079,953,652,14712.111756,215.3200000011566,0.5402774211525573,0.23294200003147125,0.21981507539749146,0.23294200003147125,0.21981507539749146,True
14712.368191,954,652,14712.111756,215.3200000011566,0.5402774211525573,0.2267286628484726,0.20250071585178375,0.2267286628484726,0.20250071585178375,True
14712.368191,954,653,14712.348242,199.61900000089372,0.9461194580057012,0.24141110479831696,0.20821160078048706,0.24141110479831696,0.20821160078048706,True
14712.554274,955,653,14712.348242,199.61900000089372,0.9461194580057012,0.21740442514419556,0.20796141028404236,0.21740442514419556,0.20796141028404236,True
14712.554274,955,654,14712.578317000001,199.68299999891315,0.46350615113758187,0.22201868891716003,0.21620099246501923,0.22201868891716003,0.21620099246501923,True
14712.750509,956,654,14712.578317000001,199.68299999891315,0.46350615113758187,0.22701330482959747,0.20992428064346313,0.22701330482959747,0.20992428064346313,True
14712.750509,956,655,14712.804455000001,214.4719999996596,0.8149336631453694,0.23060601949691772,0.1824822872877121,0.23060601949691772,0.1824822872877121,True
14712.964167,957,655,14712.804455000001,214.4719999996596,0.8149336631453694,0.2213907688856125,0.1771090030670166,0.2213907688856125,0.1771090030670166,True
14712.964167,957,656,14713.032162000001,210.95900000000256,0.3880097197329146,0.22945226728916168,0.17544804513454437,0.22945226728916168,0.17544804513454437,True
14713.122535,958,656,14713.032162000001,210.95900000000256,0.3880097197329146,0.22735491394996643,0.17164874076843262,0.22735491394996643,0.17164874076843262,True
14713.253033,959,656,14713.032162000001,210.95900000000256,0.3880097197329146,0.22510938346385956,0.16663837432861328,0.22510938346385956,0.16663837432861328,True
14713.253033,959,657,14713.267735000001,212.51099999972212,1.2552731886646387,0.23839397728443146,0.21862785518169403,0.23839397728443146,0.21862785518169403,True
14713.429186,960,657,14713.267735000001,212.51099999972212,1.2552731886646387,0.23294523358345032,0.22224853932857513,0.23294523358345032,0.22224853932857513,True
14713.429186,960,658,14713.496362,146.7659999998432,0.9487014422341961,0.23640193045139313,0.19466125965118408,0.23640193045139313,0.19466125965118408,True
14713.657738,961,658,14713.496362,146.7659999998432,0.9487014422341961,0.23774948716163635,0.21009033918380737,0.23774948716163635,0.21009033918380737,True
14713.657738,961,659,14713.682933,209.009000000151,0.5702162181049233,0.23459666967391968,0.15959477424621582,0.23459666967391968,0.15959477424621582,True
14713.827713,962,659,14713.682933,209.009000000151,0.5702162181049233,0.23926855623722076,0.15772126615047455,0.23926855623722076,0.15772126615047455,True
14713.978329,963,660,14713.90812,215.31099999992875,0.7905984493548548,0.23449943959712982,0.15691398084163666,0.23449943959712982,0.15691398084163666,True
14714.140085,964,660,14713.90812,215.31099999992875,0.7905984493548548,0.23234136402606964,0.14766603708267212,0.23234136402606964,0.14766603708267212,True
14714.140085,964,661,14714.144901000001,211.8769999997312,1.3056717125628399,0.22657309472560883,0.14850042760372162,0.22657309472560883,0.14850042760372162,True
14714.308403,965,661,14714.144901000001,211.8769999997312,1.3056717125628399,0.22225597500801086,0.1525568962097168,0.22225597500801086,0.1525568962097168,True
14714.308403,965,662,14714.374137,119.13199999980861,0.6667916940074345,0.2199327051639557,0.1105266883969307,0.2199327051639557,0.1105266883969307,True
14714.465673,966,662,14714.374137,119.13199999980861,0.6667916940074345,0.2016727477312088,0.11009974032640457,0.2016727477312088,0.11009974032640457,True
14714.465673,966,663,14714.520495,207.32999999927415,1.4455938684811769,0.23399674892425537,0.13485664129257202,0.23399674892425537,0.13485664129257202,True
14714.616262,967,663,14714.520495,207.32999999927415,1.4455938684811769,0.21623891592025757,0.1310047209262848,0.21623891592025757,0.1310047209262848,True
14714.789022,968,663,14714.520495,207.32999999927415,1.4455938684811769,0.21459071338176727,0.12489212304353714,0.21459071338176727,0.12489212304353714,True
14714.789022,968,664,14714.759809000001,217.69599999970524,1.0555682646429034,0.08397667855024338,0.09438756853342056,0.08397667855024338,0.09438756853342056,True
14714.938132000001,969,664,14714.759809000001,217.69599999970524,1.0555682646429034,0.0812404677271843,0.09742887318134308,0.0812404677271843,0.09742887318134308,True
14714.938132000001,969,665,14714.993523000001,83.58199999929639,0.19087973863447077,0.07287698239088058,0.08524323999881744,0.07287698239088058,0.08524323999881744,True
14715.096445000001,970,665,14714.993523000001,83.58199999929639,0.19087973863447077,0.0699365958571434,0.07873217761516571,0.0699365958571434,0.07873217761516571,True
14715.096445000001,970,666,14715.116955000001,212.1079999997164,0.5216096255470425,0.06732442229986191,0.14128072559833527,0.06732442229986191,0.14128072559833527,True
